"channel","region","fresh","milk","groceries","frozen","cleaning","meat"
"horeca","Other",5264,3683,5005,1057,2024,1130
"retail","Other",4098,NA,NA,2616,NA,1340
"retail","Other",5417,9933,10487,38,7572,1282
"horeca","Other",13779,1970,1648,596,227,436
"horeca","Other",6137,5360,8040,129,3084,1603
"retail","Other",8590,3045,7854,96,4095,225
"retail","Other",35942,NA,NA,3254,NA,2017
"retail","Other",7823,6245,6544,4154,4074,964
"retail","Other",9396,11601,15775,2896,7677,1295
"horeca","Other",4760,1227,3250,3724,1247,1145
"retail","Other",85,NA,NA,36,NA,1423
"horeca","Other",9,1534,7417,175,3468,27
"retail","Other",19913,6759,13462,1256,5141,834
"horeca","Other",2446,7260,3993,5870,788,3095
"horeca","Other",8352,2820,1293,779,656,144
"horeca","Other",16705,2037,3202,NA,116,1365
"horeca","Other",18291,1266,21042,5373,4173,NA
"horeca","Other",4420,5139,2661,NA,1321,181
"retail","Other",19899,5332,8713,NA,764,648
"retail","Other",8190,6343,9794,1285,1901,1780
"horeca","Other",20398,1137,3,4407,3,975
"horeca","Other",717,3587,6532,7530,529,894
"retail","Other",12205,12697,NA,869,NA,1009
"horeca","Other",10766,1175,2067,2096,301,167
"horeca","Other",1640,3259,3655,868,1202,1653
"horeca","Other",7005,829,3009,430,610,529
"retail","Other",219,9540,14403,283,7818,156
"retail","Other",10362,9232,11009,737,3537,2342
"horeca","Other",20874,1563,1783,2320,550,772
"retail","Other",11867,3327,4814,1178,3837,120
"retail","Other",16117,NA,NA,1026,NA,2944
"retail","Other",22925,NA,NA,987,NA,903
"horeca","Other",NA,5025,8117,6312,1579,NA
"horeca","Other",7864,542,4042,NA,165,46
"horeca","Other",24904,3836,5330,3443,454,3178
"horeca","Other",11405,596,1638,3347,69,360
"horeca","Other",12754,2762,2530,NA,627,1117
"retail","Other",9198,NA,NA,3232,NA,NA
"horeca","Other",11314,3090,2062,NA,71,2698
"retail","Other",5626,12220,11323,206,5038,244
"horeca","Other",3,2920,6252,440,223,709
"retail","Other",23,2616,8118,145,3874,217
"horeca","Other",403,254,610,774,54,63
"horeca","Other",503,112,778,895,56,132
"horeca","Other",9658,2182,1909,5639,215,323
"retail","Other",11594,7779,12144,3252,8035,3029
"retail","Other",1420,10810,16267,1593,6766,1838
"retail","Other",2932,6459,7677,2561,4573,1386
"horeca","Other",NA,3504,8906,NA,1480,2498
"horeca","Other",14100,2132,3445,1336,1491,548
"horeca","Other",15587,1014,3970,910,139,1378
"retail","Other",1454,6337,10704,133,6830,1831
"retail","Other",8797,10646,14886,2471,8969,1438
"retail","Other",1531,8397,6981,247,2505,1236
"retail","Other",1406,NA,NA,673,836,3
"horeca","Other",11818,1648,1694,2276,169,1647
"retail","Other",12579,11114,17569,805,6457,1519
"horeca","Other",19046,2770,2469,NA,483,2708
"horeca","Other",14438,2295,1733,3220,585,1561
"horeca","Other",18044,1080,2000,2555,118,1266
"horeca","Other",11134,793,2988,2715,276,610
"horeca","Other",11173,2521,3355,1517,310,222
"horeca","Other",6990,3880,5380,1647,319,1160
"horeca","Other",20049,1891,2362,5343,411,933
"horeca","Other",8258,2344,2147,3896,266,635
"horeca","Other",17160,1200,3412,2417,174,1136
"horeca","Other",4020,3234,1498,2395,264,255
"horeca","Other",12212,201,245,1991,25,860
"retail","Other",11170,10769,8814,2194,1976,143
"horeca","Other",36050,1642,2961,4787,500,1621
"horeca","Other",NA,3473,7102,NA,778,918
"horeca","Other",19219,1840,1658,NA,349,483
"retail","Other",21465,7243,10685,880,2386,2749
"horeca","Other",140,8847,3823,142,1062,3
"horeca","Other",NA,926,1510,1718,410,1819
"horeca","Other",7149,2428,699,6316,395,911
"horeca","Other",2101,589,314,346,70,310
"horeca","Other",14903,2032,2479,576,955,328
"horeca","Other",9434,1042,1235,436,256,396
"horeca","Other",7388,1882,2174,720,47,537
"horeca","Other",6300,1289,2591,1170,199,326
"horeca","Other",4625,8579,7030,4575,2447,1542
"horeca","Other",3087,8080,8282,661,721,36
"horeca","Other",13537,4257,5034,155,249,3271
"horeca","Other",5387,4979,3343,825,637,929
"horeca","Other",17623,4280,7305,2279,960,2616
"horeca","Other",30379,13252,5189,321,51,1450
"horeca","Other",37036,7152,8253,2995,20,3
"horeca","Other",10405,1596,1096,NA,399,318
"horeca","Other",18827,3677,1988,118,516,201
"retail","Other",22039,8384,NA,42,NA,NA
"horeca","Other",7769,1936,2177,926,73,520
"horeca","Other",9203,3373,2707,1286,1082,526
"horeca","Other",5924,584,542,4052,283,434
"horeca","Other",31812,1433,1651,800,113,1440
"horeca","Other",16225,1825,1765,853,170,1067
"horeca","Other",1289,3328,2022,531,255,1774
"horeca","Other",18840,1371,3135,3001,352,184
"horeca","Other",3463,9250,2368,779,302,1627
"horeca","Other",622,55,137,75,7,8
"retail","Other",1989,10690,19460,233,NA,2153
"retail","Other",3830,5291,14855,317,6694,3182
"horeca","Other",17773,1366,2474,3378,811,418
"retail","Other",2861,6570,9618,930,4004,1682
"retail","Other",355,7704,14682,398,8077,303
"retail","Other",1725,3651,12822,824,4424,2157
"horeca","Other",12434,540,283,1092,3,2233
"horeca","Other",15177,2024,3810,2665,232,610
"retail","Other",5531,NA,NA,2367,NA,446
"retail","Other",5224,7603,8584,2540,3674,238
"retail","Other",15615,12653,19858,4425,7108,2379
"retail","Other",4822,6721,9170,993,4973,3637
"horeca","Other",2926,3195,3268,405,1680,693
"horeca","Other",5809,735,803,1393,79,429
"horeca","Other",5414,717,2155,2399,69,750
"retail","Other",260,8675,13430,1116,7015,323
"retail","Other",200,NA,19816,651,8773,NA
"horeca","Other",955,5479,6536,333,2840,707
"retail","Other",514,7677,19805,937,NA,716
"horeca","Other",286,1208,5241,2515,153,1442
"retail","Other",2343,7845,11874,52,4196,1697
"horeca","Other",NA,6958,6536,7368,1532,230
"horeca","Other",12759,7330,4533,1752,20,2631
"horeca","Other",11002,7075,4945,1152,120,395
"horeca","Other",3157,4888,2500,4477,273,2165
"horeca","Other",12356,6036,8887,402,1382,2794
"horeca","Other",NA,NA,18148,NA,4948,NA
"horeca","Other",694,8533,10518,443,6907,156
"horeca","Other",36847,NA,20170,NA,239,NA
"horeca","Other",327,918,4710,74,334,11
"horeca","Other",8170,6448,1139,2181,58,247
"horeca","Other",3009,521,854,3470,949,727
"horeca","Other",2438,8002,9819,6269,3459,3
"retail","Other",8040,7639,11687,2758,6839,404
"retail","Other",834,11577,11522,275,4027,1856
"horeca","Other",16936,6250,1981,7332,118,64
"horeca","Other",13624,295,1381,890,43,84
"horeca","Other",5509,1461,2251,547,187,409
"retail","Other",180,3485,20292,959,5618,666
"horeca","Other",7107,1012,2974,806,355,1142
"horeca","Other",17023,5139,5230,NA,330,1755
"horeca","Lisbon",30624,7209,4897,NA,763,2876
"retail","Lisbon",2427,7097,10391,1127,4314,1468
"horeca","Lisbon",11686,2154,6824,3527,592,697
"horeca","Lisbon",9670,2280,2112,520,402,347
"retail","Lisbon",3067,13240,23127,3941,NA,731
"retail","Lisbon",4484,14399,NA,3549,NA,1681
"horeca","Lisbon",25203,11487,9490,5065,284,NA
"horeca","Lisbon",583,685,2216,469,954,18
"horeca","Lisbon",1956,891,5226,1383,5,1328
"retail","Lisbon",1107,11711,NA,955,9265,710
"horeca","Lisbon",6373,780,950,878,288,285
"retail","Lisbon",2541,4737,6089,2946,5316,120
"horeca","Lisbon",1537,3748,5838,1859,3381,806
"retail","Lisbon",5550,12729,16767,864,NA,797
"horeca","Lisbon",18567,1895,1393,1801,244,2100
"retail","Lisbon",12119,NA,NA,4736,NA,2870
"horeca","Lisbon",7291,1012,2062,1291,240,1775
"horeca","Lisbon",3317,6602,6861,1329,3961,1215
"retail","Lisbon",2362,6551,11364,913,5957,791
"horeca","Lisbon",2806,10765,15538,1374,5828,2388
"retail","Lisbon",2532,NA,NA,179,NA,674
"horeca","Lisbon",18044,1475,2046,2532,130,1158
"retail","Lisbon",18,7504,15205,1285,4797,NA
"horeca","Lisbon",4155,367,1390,2306,86,130
"horeca","Lisbon",14755,899,1382,1765,56,749
"horeca","Lisbon",5396,7503,10646,91,4167,239
"horeca","Lisbon",5041,1115,2856,7496,256,375
"retail","Lisbon",2790,2527,5265,5612,788,1360
"horeca","Lisbon",7274,659,1499,784,70,659
"horeca","Lisbon",12680,3243,4157,660,761,786
"retail","Lisbon",20782,5921,9212,1759,2568,1553
"horeca","Lisbon",4042,2204,1563,2286,263,689
"horeca","Lisbon",1869,577,572,950,4762,203
"horeca","Lisbon",8656,2746,2501,6845,694,980
"retail","Lisbon",11072,5989,5615,NA,955,2137
"horeca","Lisbon",2344,10678,3828,1439,1566,490
"horeca","Lisbon",25962,1780,3838,638,284,834
"horeca","Lisbon",964,4984,3316,937,409,7
"horeca","Lisbon",15603,2703,3833,4260,325,2563
"horeca","Lisbon",1838,6380,2824,1218,1216,295
"horeca","Lisbon",8635,820,3047,2312,415,225
"horeca","Lisbon",18692,3838,593,4634,28,1215
"horeca","Lisbon",7363,475,585,1112,72,216
"horeca","Lisbon",NA,2567,3779,5243,828,2253
"horeca","Lisbon",22096,3575,7041,NA,343,2564
"horeca","Lisbon",24929,1801,2475,2216,412,1047
"horeca","Lisbon",18226,659,2914,3752,586,578
"horeca","Lisbon",11210,3576,5119,561,1682,2398
"horeca","Lisbon",6202,7775,10817,1183,3143,1970
"retail","Lisbon",3062,6154,13916,230,8933,2784
"horeca","Lisbon",8885,2428,1777,1777,430,610
"horeca","Lisbon",13569,346,489,2077,44,659
"horeca","Lisbon",15671,5279,2406,559,562,572
"horeca","Lisbon",8040,3795,2070,6340,918,291
"horeca","Lisbon",3191,1993,1799,1730,234,710
"retail","Lisbon",6134,NA,NA,6746,NA,NA
"horeca","Lisbon",6623,1860,4740,7683,205,1693
"horeca","Lisbon",29526,7961,16966,432,363,1391
"horeca","Lisbon",10379,NA,4748,4686,1547,3265
"horeca","Lisbon",31614,489,1495,3242,111,615
"horeca","Lisbon",11092,5008,5249,453,392,373
"horeca","Lisbon",8475,1931,1883,5004,3593,987
"horeca","Lisbon",NA,4563,2124,6422,730,3321
"horeca","Lisbon",NA,4959,7336,3012,967,818
"horeca","Lisbon",9193,4885,2157,327,780,548
"horeca","Lisbon",7858,1110,1094,6818,49,287
"horeca","Lisbon",23257,1372,1677,982,429,655
"horeca","Lisbon",2153,1115,6684,4324,2894,411
"retail","Lisbon",1073,9679,15445,61,5980,1265
"horeca","Lisbon",5909,NA,13699,NA,830,3636
"retail","Lisbon",572,9763,22182,2221,4882,2563
"horeca","Lisbon",20893,1222,2576,3975,737,3628
"retail","Lisbon",11908,8053,19847,1069,6374,698
"horeca","Lisbon",15218,258,1138,2516,333,204
"horeca","Lisbon",4720,1032,975,5500,197,56
"horeca","Lisbon",2083,5007,1563,1120,147,1550
"horeca","Lisbon",514,8323,6869,529,93,1040
"horeca","Other",36817,3045,1493,4802,210,1824
"horeca","Other",894,1703,1841,744,759,1153
"horeca","Other",680,1610,223,862,96,379
"horeca","Other",27901,3749,6964,4479,603,2503
"horeca","Other",9061,829,683,NA,621,139
"horeca","Other",11693,2317,2543,5845,274,1409
"retail","Other",17360,6200,9694,1293,3620,1721
"horeca","Other",3366,2884,2431,977,167,1104
"retail","Other",12238,7108,6235,1093,2328,2079
"horeca","Other",NA,3965,4252,5970,1041,1404
"horeca","Other",25767,3613,2013,NA,314,1384
"horeca","Other",NA,4411,12609,NA,751,2406
"horeca","Other",NA,640,3600,1042,436,18
"horeca","Other",7149,2247,1242,1619,1226,128
"horeca","Other",15354,2102,2828,NA,386,1027
"horeca","Other",16260,594,1296,848,445,258
"horeca","Other",NA,286,471,1388,32,22
"horeca","Other",2708,2160,2642,502,965,1522
"horeca","Other",6022,3354,3261,2507,212,686
"horeca","Other",2838,3086,4329,3838,825,1060
"retail","Oporto",3996,11103,12469,902,5952,741
"horeca","Oporto",21273,2013,6550,909,811,1854
"retail","Oporto",7588,1897,5234,417,2208,254
"horeca","Oporto",19087,1304,3643,3045,710,898
"retail","Oporto",8090,3199,6986,1455,3712,531
"retail","Oporto",6758,4560,9965,934,4538,1037
"horeca","Oporto",444,879,2060,264,290,259
"retail","Oporto",16448,6243,6360,824,2662,2005
"retail","Oporto",5283,13316,20399,1809,8752,172
"retail","Oporto",2886,5302,9785,364,6236,555
"retail","Oporto",2599,3688,13829,492,NA,59
"retail","Oporto",161,7460,NA,617,NA,2410
"retail","Oporto",243,12939,8852,799,3909,211
"retail","Oporto",6468,12867,21570,1840,7558,1543
"horeca","Oporto",17327,2374,2842,1149,351,925
"horeca","Oporto",6987,1020,3007,416,257,656
"retail","Oporto",918,NA,13567,1465,6846,806
"horeca","Oporto",7034,1492,2405,NA,299,1117
"horeca","Oporto",29635,2335,8280,3046,371,117
"retail","Oporto",2137,3737,19172,1274,NA,142
"horeca","Oporto",9784,925,2405,4447,183,297
"horeca","Oporto",10617,1795,7647,1483,857,1233
"retail","Oporto",1479,14982,11924,662,3891,3508
"horeca","Oporto",7127,1375,2201,2679,83,1059
"horeca","Oporto",1182,3088,6114,978,821,1637
"horeca","Oporto",11800,2713,3558,2121,706,51
"retail","Oporto",9759,NA,17645,1128,NA,1625
"horeca","Oporto",1774,3696,2280,514,275,834
"horeca","Oporto",9155,1897,5167,2714,228,1113
"horeca","Oporto",15881,713,3315,3703,1470,229
"horeca","Oporto",13360,944,11593,915,1679,573
"horeca","Oporto",25977,3587,2464,2369,140,1092
"horeca","Oporto",32717,NA,13626,NA,1272,NA
"horeca","Oporto",4414,1610,1431,3498,387,834
"horeca","Oporto",542,899,1664,414,88,522
"horeca","Oporto",16933,2209,3389,NA,210,1534
"horeca","Oporto",5113,1486,4583,5127,492,739
"horeca","Oporto",9790,1786,5109,3570,182,1043
"retail","Oporto",11223,14881,NA,1234,NA,1102
"horeca","Oporto",22321,3216,1447,2208,178,2602
"retail","Oporto",8565,4980,NA,131,NA,1215
"retail","Oporto",16823,928,2743,NA,332,3486
"retail","Oporto",27082,6817,10790,1365,4111,2139
"horeca","Oporto",13970,1511,1330,650,146,778
"horeca","Oporto",9351,1347,2611,NA,442,868
"horeca","Oporto",3,333,7021,NA,15,550
"horeca","Oporto",2617,1188,5332,NA,573,1942
"retail","Other",381,4025,9670,388,7271,1371
"retail","Other",2320,5763,11238,767,5162,2158
"horeca","Other",255,5758,5923,349,4595,1328
"retail","Other",1689,6964,NA,1456,NA,37
"horeca","Other",3043,1172,1763,2234,217,379
"horeca","Other",1198,2602,8335,402,3843,303
"retail","Other",2771,6939,15541,2693,6600,1115
"retail","Other",27380,7184,12311,2809,4621,1022
"horeca","Other",3428,2380,2028,1341,1184,665
"retail","Other",5981,14641,20521,2005,NA,445
"horeca","Other",3521,1099,1997,1796,173,995
"retail","Other",1210,10044,22294,1741,NA,3137
"horeca","Other",608,1106,1533,830,90,195
"retail","Other",117,6264,21203,228,8682,1111
"horeca","Other",14039,7393,2548,6386,1333,2341
"horeca","Other",190,727,2012,245,184,127
"horeca","Other",22686,134,218,3157,9,548
"retail","Other",37,1275,22272,137,6747,110
"horeca","Other",759,NA,1660,6114,536,NA
"horeca","Other",796,5878,2109,340,232,776
"horeca","Other",19746,2872,2006,2601,468,503
"horeca","Other",4734,607,864,1206,159,405
"horeca","Other",2121,1601,2453,560,179,712
"horeca","Other",4627,997,4438,191,1335,314
"horeca","Other",2615,873,1524,1103,514,468
"retail","Other",4692,6128,8025,1619,4515,3105
"horeca","Other",9561,2217,1664,1173,222,447
"horeca","Other",3477,894,534,1457,252,342
"horeca","Other",22335,1196,2406,2046,101,558
"horeca","Other",6211,337,683,1089,41,296
"retail","Other",NA,3944,4955,1364,523,2235
"horeca","Other",20105,1887,1939,NA,716,790
"horeca","Other",3884,3801,1641,876,397,NA
"retail","Other",15076,6257,7398,1504,1916,3113
"horeca","Other",6338,2256,1668,1492,311,686
"horeca","Other",5841,1450,1162,597,476,70
"retail","Other",3136,8630,13586,5641,4666,1426
"horeca","Other",NA,3154,2648,1034,96,1242
"horeca","Other",3225,3294,1902,282,68,1114
"retail","Other",4048,5164,10391,130,813,179
"horeca","Other",28257,944,2146,3881,600,270
"horeca","Other",17770,4591,1617,NA,246,532
"horeca","Other",34454,7435,8469,2540,1711,2893
"horeca","Other",1821,1364,3450,4006,397,361
"horeca","Other",10683,NA,15400,3635,282,NA
"horeca","Other",11635,922,1614,2583,192,1068
"horeca","Other",1206,3620,2857,1945,353,967
"horeca","Other",20918,1916,1573,1960,231,961
"horeca","Other",9785,848,1172,1677,200,406
"horeca","Other",9385,1530,1422,3019,227,684
"horeca","Other",3352,1181,1328,5502,311,1000
"horeca","Other",2647,2761,2313,907,95,1827
"horeca","Other",518,4180,3600,659,122,654
"horeca","Other",23632,6730,3842,NA,385,819
"horeca","Other",12377,865,3204,1398,149,452
"horeca","Other",9602,1316,1263,2921,841,290
"retail","Other",4515,11991,9345,2644,3378,2213
"horeca","Other",11535,1666,1428,6838,64,743
"horeca","Other",11442,1032,582,5390,74,247
"horeca","Other",9612,577,935,1601,469,375
"horeca","Other",4446,906,1238,3576,153,1014
"horeca","Other",27167,2801,2128,NA,92,1902
"horeca","Other",26539,4753,5091,220,10,340
"horeca","Other",25606,11006,4604,127,632,288
"horeca","Other",18073,4613,3444,4324,914,715
"horeca","Other",6884,1046,1167,2069,593,378
"horeca","Other",25066,5010,5026,NA,1092,960
"retail","Other",7362,12844,18683,2854,7883,553
"retail","Other",8257,3880,6407,1646,2730,344
"horeca","Other",8708,3634,6100,2349,2123,NA
"horeca","Other",6633,2096,4563,1389,1860,1892
"horeca","Other",2126,3289,3281,1535,235,NA
"horeca","Other",97,3605,12400,98,2970,62
"horeca","Other",4983,4859,6633,NA,912,2435
"horeca","Other",5969,1990,3417,5679,1135,290
"retail","Other",7842,6046,8552,1691,3540,1874
"retail","Other",4389,10940,10908,848,6728,993
"horeca","Other",5065,5499,11055,364,3485,1063
"retail","Other",660,8494,18622,133,6740,776
"horeca","Other",8861,3783,2223,633,1580,1521
"horeca","Other",4456,5266,13227,25,6818,1393
"retail","Other",17063,4847,9053,1031,3415,1784
"horeca","Other",26400,1377,4172,830,948,1218
"retail","Other",17565,3686,4657,1059,1803,668
"retail","Other",16980,2884,12232,874,3213,249
"horeca","Other",11243,2408,2593,NA,108,1886
"horeca","Other",13134,9347,14316,3141,5079,1894
"horeca","Other",31012,NA,5429,NA,439,1163
"horeca","Other",3047,5970,4910,2198,850,317
"horeca","Other",8607,1750,3580,47,84,2501
"horeca","Other",3097,4230,16483,575,241,2080
"horeca","Other",8533,5506,5160,NA,1377,1498
"horeca","Other",21117,1162,4754,269,1328,395
"horeca","Other",1982,3218,1493,1541,356,1449
"horeca","Other",16731,3922,7994,688,2371,838
"horeca","Other",29703,12051,16027,NA,182,2204
"horeca","Other",NA,1431,764,4510,93,2346
"retail","Other",14531,15488,NA,437,NA,1867
"horeca","Other",10290,1981,2232,1038,168,2125
"horeca","Other",2787,1698,2510,65,477,52
