"nr","pealkiri","esitaja","liik","aasta","taktsagedus","elavus","tantsitavus","valjusus","publik","rõõmsus","pikkus","akustilisus","kõne","menukus"
293,"I Bet You Look Good On The Dancefloor","Arctic Monkeys","other",2006,103,95,54,-4,38,78,"174",0,4,58
306,"Stiekem Gedanst","Toontje Lager","other",2008,96,63,66,-10,60,84,"215",21,6,53
308,"Lady Madonna - Remastered 2015","The Beatles","british invasion",2000,110,78,65,-5,22,57,"137",14,3,63
310,"God Is a DJ","Faithless","other",2005,131,90,61,-7,17,39,"209",18,4,57
315,"Sing for Absolution","Muse","modern rock",2004,170,68,44,-7,9,19,"295",46,3,57
317,"Vertigo","U2","irish rock",2004,140,82,42,-4,15,63,"194",0,6,65
323,"Het Regent Zonnestralen","Acda en de Munnik","dutch cabaret",2005,108,75,62,-6,11,83,"226",41,3,57
324,"Violet Hill","Coldplay","other",2008,76,58,35,-8,12,11,"223",6,4,61
326,"Beautiful Day","U2","irish rock",2000,136,93,54,-6,36,45,"246",1,5,63
328,"An End Has a Start","Editors","other",2007,150,92,35,-2,34,54,"226",0,5,53
329,"Lost!","Coldplay","other",2008,87,78,36,-8,38,58,"236",1,4,53
334,"Bird of Paradise","Snowy White","other",2003,144,44,47,-11,32,31,"281",60,4,52
336,"Onderweg","Abel","other",2000,98,68,62,-6,8,41,"190",35,2,59
337,"Mr. Bojangles - Single Version","Sammy Davis Jr.","adult standards",2002,117,18,54,-13,11,13,"343",75,5,56
339,"Resistance","Muse","modern rock",2009,135,77,47,-7,11,9,"347",6,5,63
341,"Mia","Gorki","other",2002,114,30,70,-17,10,23,"332",4,3,52
342,"You Oughta Know","Alanis Morissette","alternative rock",2005,105,86,64,-7,87,47,"250",23,7,52
344,"Stand My Ground","Within Temptation","other",2004,88,87,25,-4,12,13,"268",5,5,56
347,"Unfinished Sympathy","Massive Attack","other",2006,114,89,59,-6,51,70,"312",1,3,53
351,"Politik","Coldplay","other",2002,171,48,26,-8,11,7,"319",4,3,62
355,"Hallelujah","Lisa Lois","dutch pop",2009,182,24,19,-13,11,11,"226",24,3,49
356,"Somewhere Only We Know","Keane","modern rock",2004,172,66,45,-4,8,37,"236",8,3,67
365,"Mr Bojangles","Robbie Williams","dance pop",2001,137,33,51,-11,18,27,"198",72,11,58
366,"Tranen Gelachen","Guus Meeuwis","dutch pop",2007,186,54,30,-8,12,54,"203",16,4,50
368,"Frozen","Madonna","dance pop",2009,108,74,59,-8,18,29,"379",51,3,55
370,"Poker Face","Lady Gaga","dance pop",2008,119,81,85,-5,12,78,"237",12,8,69
373,"Ruby","Kaiser Chiefs","alternative rock",2007,93,93,44,-3,8,40,"203",1,5,62
379,"Black Betty","Ram Jam","album rock",2005,117,73,49,-9,16,83,"236",0,9,61
382,"Undisclosed Desires","Muse","modern rock",2009,116,59,68,-7,8,64,"235",1,3,65
385,"Brabant","Guus Meeuwis","dutch pop",2002,82,47,41,-7,10,39,"210",56,3,61
390,"Make It Wit Chu","Queens of the Stone Age","alternative metal",2007,92,81,70,-5,13,58,"290",36,3,59
393,"Farewell To The Fairground","White Lies","other",2009,118,77,53,-5,12,30,"257",0,4,54
397,"Working On a Dream","Bruce Springsteen","classic rock",2009,110,77,56,-7,22,71,"209",0,3,48
398,"Nutbush City Limits","Ike & Tina Turner","other",2008,77,89,69,-6,3,91,"182",9,3,56
401,"Mag Ik Dan Bij Jou","Claudia De Breij","dutch cabaret",2010,132,29,54,-10,71,19,"206",97,3,53
405,"Why Tell Me Why","Anita Meyer","dutch pop",2010,112,77,65,-6,59,38,"214",23,6,54
407,"Dat Komt Door Jou","Guus Meeuwis","dutch pop",2010,134,53,59,-10,12,31,"287",38,4,57
413,"Alors on danse","Stromae","other",2010,120,59,79,-9,7,73,"206",9,8,61
419,"The Promise You Made","Cock Robin","dance rock",2010,117,41,71,-14,15,65,"227",38,4,48
427,"You Got It","Roy Orbison","adult standards",2010,115,59,66,-12,31,67,"204",60,3,44
428,"Atmosphere - 2010 Remaster","Joy Division","alternative rock",2010,120,39,62,-12,12,44,"249",23,3,51
431,"Back Down South","Kings of Leon","modern rock",2010,117,62,48,-7,26,15,"241",6,4,58
432,"Riverside","Agnes Obel","other",2010,99,19,65,-14,13,23,"231",98,3,48
437,"Levels","Avicii","other",2011,126,83,60,-7,34,35,"339",3,4,58
440,"Rood","Marco Borsato","dutch cabaret",2011,138,78,48,-8,8,18,"319",1,5,53
449,"Titanium (feat. Sia)","David Guetta","dance pop",2011,126,79,60,-4,13,30,"245",7,10,67
450,"Faster","Within Temptation","other",2011,120,93,51,-3,14,48,"264",0,4,53
453,"Luv U More - K&A's Radio blast","DJ Paul","other",2011,168,82,51,-11,14,7,"232",0,3,51
455,"Driver's Seat","Sniff 'n' The Tears","other",2011,133,80,74,-8,19,98,"239",0,4,54
456,"Zing Voor Me","Lange Frans","other",2011,82,52,43,-9,22,56,"216",80,7,52
460,"Rumour Has It","Adele","british soul",2011,120,75,62,-5,9,56,"221",64,5,65
463,"Happiness","Jonathan Jeremiah","dutch indie",2011,89,57,53,-10,13,49,"182",72,6,49
474,"These Days","Foo Fighters","alternative metal",2011,135,66,53,-4,21,22,"298",0,3,64
477,"Georgia on My Mind","Ray Charles","adult standards",2011,131,32,29,-8,19,20,"215",86,3,49
481,"Zo Stil","BLØF","dutch pop",2012,170,69,57,-7,11,78,"237",4,3,54
482,"Holiday In Spain","Counting Crows","alternative rock",2012,126,32,65,-11,13,28,"233",66,3,56
484,"Video Games - Remastered","Lana Del Rey","art pop",2012,122,26,39,-10,9,18,"282",81,3,55
494,"Wat Zou Je Doen?","BLØF","dutch pop",2012,184,51,35,-8,71,22,"291",40,3,51
496,"Sovereign Light Café","Keane","modern rock",2012,123,73,54,-6,16,51,"219",1,3,51
498,"Lover of the Light","Mumford & Sons","other",2012,107,69,30,-7,27,37,"315",1,5,57
500,"On Top Of The World","Imagine Dragons","modern rock",2012,100,93,64,-6,9,76,"190",9,15,66
501,"Flappie","Youp van 't Hek","dutch cabaret",2012,131,24,75,-13,44,67,"206",79,8,52
502,"Home Again","Michael Kiwanuka","british soul",2012,85,32,52,-11,12,27,"212",70,3,51
503,"If You Could See Me Now","The Script","other",2012,100,76,51,-7,14,35,"220",1,7,51
508,"Slapeloze Nachten","The Opposites","other",2012,112,65,81,-7,15,81,"229",35,6,57
509,"One Moment in Time","Whitney Houston","dance pop",2012,155,54,27,-7,10,33,"285",49,3,54
511,"Babel","Mumford & Sons","other",2012,80,81,37,-6,8,65,"209",3,5,57
512,"Hopeless Wanderer","Mumford & Sons","other",2012,154,58,27,-8,11,20,"308",1,4,58
517,"Diamonds","Rihanna","other",2012,92,71,56,-5,11,39,"225",0,5,67
518,"It's Time","Imagine Dragons","modern rock",2012,105,88,66,-5,14,86,"238",2,4,66
520,"Euphoria","Loreen","other",2012,132,68,52,-5,6,11,"214",8,4,56
521,"Oceaan","Racoon","dutch indie",2013,126,34,47,-8,11,24,"165",86,4,63
522,"Lola Montez","Volbeat","alternative metal",2013,152,88,51,-5,7,68,"268",0,3,57
526,"Another Love","Tom Odell","modern rock",2013,123,54,45,-9,9,13,"244",70,4,58
529,"This Is What It Feels Like","Armin van Buuren","other",2013,130,83,55,-5,6,14,"204",4,3,65
536,"Strong","London Grammar","other",2013,78,40,57,-11,8,30,"266",74,3,49
542,"Addicted To You","Avicii","other",2013,128,79,57,-4,9,30,"148",5,5,69
555,"Everybody (Backstreet's Back) - Radio Edit","Backstreet Boys","other",2013,108,87,74,-3,27,59,"225",3,4,62
558,"Grow Old with Me","Tom Odell","modern rock",2013,146,58,47,-7,25,37,"183",51,3,49
562,"Iron Sky","Paolo Nutini","british soul",2014,140,63,39,-7,11,32,"373",24,3,49
564,"Rolling In The Deep","Adele","british soul",2014,105,76,73,-5,6,54,"228",13,3,61
565,"Streets","Kensington","dutch pop",2014,168,77,38,-6,27,42,"185",0,4,57
569,"In Your Arms","Chef'Special","dutch indie",2014,93,41,67,-12,11,36,"215",65,5,60
571,"War","Kensington","dutch pop",2014,126,81,64,-6,7,72,"177",8,3,59
574,"Calm After The Storm","The Common Linnets","other",2014,116,39,69,-11,12,38,"213",49,3,52
575,"Riddles","Kensington","dutch pop",2014,148,70,49,-8,8,62,"209",4,4,52
576,"Under The Pressure","The War On Drugs","other",2014,134,71,33,-7,13,19,"532",31,3,60
580,"My Silver Lining","First Aid Kit","other",2014,102,73,48,-5,21,43,"215",3,3,64
589,"Yellow Submarine","The Beatles","british invasion",2014,111,64,62,-7,52,65,"159",21,3,58
593,"Shake It Off","Taylor Swift","dance pop",2014,160,80,65,-5,33,94,"219",6,17,66
595,"No Good in Goodbye","The Script","other",2014,156,87,37,-5,8,22,"308",1,4,59
599,"Done With It","Kensington","dutch pop",2014,116,78,65,-7,10,63,"203",13,4,49
608,"Élan","Nightwish","other",2015,128,58,57,-9,14,30,"287",1,3,58
632,"Mercy","Muse","modern rock",2015,130,93,48,-5,31,37,"232",1,5,60
636,"We Come 1 - Radio Edit","Faithless","other",2015,136,90,65,-11,15,61,"222",0,4,54
639,"Liquid Spirit - Claptone Remix","Gregory Porter","other",2015,121,62,88,-9,5,30,"384",0,5,63
641,"Ocean of Night","Editors","other",2015,106,67,57,-10,11,25,"305",2,3,58
644,"Ship To Wreck","Florence + The Machine","art pop",2015,142,92,56,-4,28,59,"235",0,3,54
646,"Happy Xmas (War Is Over)","John Lennon","album rock",2015,147,68,40,-6,68,60,"212",18,3,47
647,"Sorry","Kensington","dutch pop",2016,134,41,46,-8,10,9,"227",50,3,63
650,"Leef","André Hazes Jr.","dutch pop",2016,121,73,67,-7,18,78,"218",28,4,62
653,"Treur Niet (Ode Aan Het Leven)","Diggy Dex","other",2016,98,72,68,-9,13,57,"225",20,6,60
655,"Do I Ever","Kensington","dutch pop",2016,163,79,39,-6,40,34,"204",0,5,53
658,"Lazarus","David Bowie","album rock",2016,130,70,66,-7,9,51,"382",5,3,61
659,"Million Years Ago","Adele","british soul",2016,106,27,72,-8,11,18,"227",73,3,62
662,"Bridges","Kensington","dutch pop",2016,150,83,38,-7,7,45,"220",0,6,49
664,"Mooi","Marco Borsato","dutch cabaret",2016,150,43,49,-8,12,31,"315",10,3,59
667,"New Gold Dream (81/82/83/84)","Simple Minds","art rock",2016,123,75,59,-11,34,66,"339",0,3,44
668,"Disco Inferno","The Trammps","disco",2016,130,70,68,-9,14,81,"214",0,3,54
671,"Blackstar","David Bowie","album rock",2016,98,55,37,-8,18,11,"598",21,3,55
701,"Sorry","Nothing But Thieves","other",2017,128,78,67,-5,13,52,"215",0,3,62
705,"Amsterdam","Nothing But Thieves","other",2017,168,93,51,-5,24,67,"272",0,24,63
708,"Thinking Of A Place","The War On Drugs","other",2017,103,63,48,-7,12,16,"671",39,3,59
711,"Sunny Days","Armin van Buuren","other",2017,115,71,63,-7,14,24,"210",1,3,54
716,"Pain","The War On Drugs","other",2017,116,83,52,-4,8,48,"331",0,4,62
718,"Tuesday Afternoon (Forever Afternoon)","The Moody Blues","album rock",2017,114,32,50,-13,24,30,"249",10,3,50
723,"World Gone Mad","Bastille","other",2017,140,68,51,-3,18,36,"196",28,3,64
730,"I Want To Break Free","Queen","glam rock",2018,109,41,81,-9,8,50,"223",11,4,59
737,"Als Het Avond Is","Suzan & Freek","dutch pop",2018,105,47,72,-7,11,45,"206",53,3,65
763,"De Zon Op","Diggy Dex","other",2018,100,57,74,-8,10,57,"209",51,4,52
770,"I Do","Douwe Bob","other",2018,73,25,49,-11,8,27,"202",88,3,52
772,"Guiding Light","Mumford & Sons","other",2018,100,71,55,-8,8,30,"218",6,5,60
786,"Time To Give","White Lies","other",2019,120,83,43,-6,14,35,"455",2,5,50
791,"About A Girl - Live Version","Nirvana","alternative rock",2019,121,76,61,-9,73,63,"218",14,7,50
793,"Phantom Of The Opera","Floor Jansen","dutch pop",2019,132,87,47,-6,25,27,"244",0,5,56
809,"Samba Pa Ti","Santana","other",1970,92,36,41,-13,8,27,"285",83,3,63
811,"Who'll Stop The Rain","Creedence Clearwater Revival","album rock",1970,124,80,60,-7,7,62,"147",4,3,66
814,"The Long And Winding Road - Remastered 2009","The Beatles","british invasion",1970,132,33,30,-10,6,39,"218",76,3,64
816,"Almost Cut My Hair","Crosby, Stills, Nash & Young","album rock",1970,137,47,47,-10,16,57,"269",18,4,62
820,"Since I've Been Loving You - 1990 Remaster","Led Zeppelin","album rock",1970,119,36,39,-11,12,31,"444",0,3,63
821,"Get Back - Remastered 2009","The Beatles","british invasion",1970,123,59,76,-10,61,33,"189",49,6,65
822,"The Man Who Sold the World - 2015 Remaster","David Bowie","album rock",1970,118,39,47,-14,14,55,"241",64,3,63
824,"Roadhouse Blues","The Doors","album rock",1970,121,63,61,-8,15,90,"244",34,3,73
829,"Lookin' Out My Back Door","Creedence Clearwater Revival","album rock",1970,105,66,75,-6,9,86,"152",19,4,67
830,"25 or 6 to 4 - 2002 Remaster","Chicago","adult standards",1970,147,91,60,-7,8,72,"290",31,6,64
831,"Working Class Hero - Remastered 2010 / Lennon Legend Version","John Lennon","album rock",1970,159,17,48,-19,12,19,"228",73,5,57
832,"Lucky Man - 2012 Remastered Version","Emerson, Lake & Palmer","album rock",1970,154,38,35,-16,5,48,"276",9,3,60
833,"Into the Mystic - 2013 Remaster","Van Morrison","classic rock",1970,86,52,61,-10,12,80,"206",37,3,72
834,"Carry On","Crosby, Stills, Nash & Young","album rock",1970,119,50,46,-12,27,53,"266",6,4,58
835,"(They Long To Be) Close To You","Carpenters","adult standards",1970,89,25,53,-15,12,24,"276",71,3,60
836,"Move On Up","Curtis Mayfield","other",1970,139,97,54,-6,12,93,"166",42,9,67
838,"Up Around The Bend","Creedence Clearwater Revival","album rock",1970,130,85,59,-6,27,81,"161",6,3,69
843,"Echoes","Pink Floyd","album rock",1971,134,32,28,-17,11,14,"1,412",37,4,58
848,"I Am...I Said - Single Version","Neil Diamond","adult standards",1971,91,38,25,-14,11,51,"213",14,3,60
850,"Wild Horses","The Rolling Stones","album rock",1971,140,39,43,-7,8,16,"342",69,3,72
851,"L.A. Woman","The Doors","album rock",1971,171,73,35,-9,12,70,"471",8,4,67
856,"Morning Has Broken","Yusuf / Cat Stevens","other",1971,133,32,42,-13,9,41,"200",62,3,68
858,"One of These Days","Pink Floyd","album rock",1971,104,51,38,-15,54,40,"355",1,5,55
860,"Brown Sugar - Remastered","The Rolling Stones","album rock",1971,129,93,63,-4,6,96,"229",22,3,71
861,"You've Got a Friend","Carole King","adult standards",1971,169,26,47,-11,12,46,"309",88,3,68
862,"Locomotive Breath","Jethro Tull","album rock",1971,125,53,68,-13,6,35,"266",42,9,60
864,"Changes - 2015 Remaster","David Bowie","album rock",1971,115,31,55,-12,11,41,"218",51,4,66
866,"Honky Tonk Women - Mono Version","The Rolling Stones","album rock",1971,120,78,56,-7,7,97,"179",36,6,67
867,"You've Got a Friend","James Taylor","adult standards",1971,92,28,70,-15,8,45,"269",68,3,68
868,"Cry Baby","Janis Joplin","other",1971,83,42,47,-10,5,50,"239",52,3,66
870,"Roundabout - 2003 Remaster","Yes","album rock",1971,133,76,41,-9,8,39,"511",7,7,66
873,"After Midnight","J.J. Cale","other",1971,96,31,69,-19,9,52,"144",17,4,62
875,"Love Her Madly","The Doors","album rock",1971,147,59,56,-7,4,97,"198",6,3,67
876,"Rock and Roll - Remaster","Led Zeppelin","album rock",1971,170,89,32,-7,9,87,"221",0,4,67
878,"Call Me The Breeze","J.J. Cale","other",1971,92,42,81,-15,10,84,"157",75,4,58
880,"Behind Blue Eyes","The Who","album rock",1971,127,62,39,-8,9,34,"221",21,3,71
883,"Smoke on the Water","Deep Purple","album rock",1972,114,59,63,-11,5,89,"342",10,3,64
890,"Time In A Bottle","Jim Croce","adult standards",1972,134,26,54,-12,15,64,"148",85,3,58
895,"She's A Rainbow - Full Version / With Intro","The Rolling Stones","album rock",1972,109,78,45,-9,34,51,"252",44,4,55
896,"You're so Vain","Carly Simon","adult standards",1972,106,68,66,-8,8,65,"258",16,3,75
897,"Ziggy Stardust - 2012 Remaster","David Bowie","album rock",1972,161,56,44,-12,21,50,"194",5,12,64
898,"Whiskey In The Jar","Thin Lizzy","album rock",1972,128,69,56,-11,20,75,"345",53,4,63
902,"A Thing Called Love","Johnny Cash","other",1972,156,50,53,-11,26,79,"153",48,3,54
903,"Harvest - 2009 Remaster","Neil Young","album rock",1972,86,22,54,-18,11,31,"189",74,4,51
904,"Sylvia's Mother","Dr. Hook","other",1972,167,47,30,-13,34,58,"228",69,5,58
906,"Ventura Highway","America","album rock",1972,131,58,67,-10,6,82,"211",22,3,69
907,"Witchy Woman - Eagles 2013 Remaster","Eagles","album rock",1972,99,57,56,-12,12,58,"251",36,3,56
908,"Song Sung Blue - Single Version","Neil Diamond","adult standards",1972,109,33,56,-16,32,33,"195",47,3,54
910,"Peaceful Easy Feeling - Eagles 2013 Remaster","Eagles","album rock",1972,143,63,57,-12,25,87,"258",49,3,65
911,"Do It Again","Steely Dan","album rock",1972,125,54,68,-10,6,96,"357",22,3,69
913,"Angie","The Rolling Stones","album rock",1973,136,55,43,-6,11,41,"272",67,3,72
919,"Always On My Mind","Elvis Presley","adult standards",1973,181,39,36,-14,12,50,"218",75,3,61
922,"Leaving, On a Jet Plane - ""Greatest Hits"" Version","John Denver","adult standards",1973,121,19,41,-13,11,63,"246",85,3,64
925,"Band On The Run - Remastered 2010","Paul McCartney","album rock",1973,125,60,48,-9,11,67,"313",8,3,71
927,"Tequila Sunrise - 2013 Remaster","Eagles","album rock",1973,111,40,63,-13,11,73,"173",54,3,62
930,"Goodbye Yellow Brick Road - Remastered 2014","Elton John","glam rock",1973,121,47,56,-8,15,40,"193",45,3,68
931,"Midnight Train to Georgia","Gladys Knight & The Pips","other",1973,92,38,59,-12,10,45,"279",27,5,67
932,"Daniel","Elton John","glam rock",1973,132,48,69,-12,9,90,"235",38,3,65
934,"Long Train Runnin'","The Doobie Brothers","album rock",1973,117,91,57,-7,6,84,"207",9,4,71
