"m100","m400","m1500","m110hurdles","longjump","highjump","polevault","shotput","discus","javelin"
11.02,49.14,277.95,15.06,7.11,1.91,4.7,14.73,39.99,56.05
11.32,50.38,297.81,15.44,7.24,2.14,4.6,14.75,39.78,60.65
10.82,48.81,274.3,15.42,7.12,1.99,4.8,13.13,37.08,54.91
10.88,50.52,294.85,14.84,7.26,2.03,5.01,13.36,36.45,55.75
11.06,49.2,263.71,14.85,7.07,1.97,4.41,13.15,42.49,52.62
11.31,50.21,291.71,15.55,7.24,1.92,4.8,14.63,45.77,58.28
11.28,50.89,291.92,15.38,7.47,2.08,4.6,13.54,38.06,63.37
10.94,49.2,278.64,14.46,7.33,1.95,4.6,12.27,39.46,53.6
10.79,49.1,282.36,14.27,7.3,2.04,4.31,13.41,35.1,51.88
11.36,51.8,279.43,15.24,7.59,2.11,4.7,13.01,44.88,46.54
11.21,50.8,291.89,14.84,7.17,1.96,4.67,15.21,46.45,49.04
11.03,49.92,276.74,14.72,7.2,1.95,4.2,14.43,42.87,53.37
11,49.37,280.62,14.87,6.59,1.91,4.6,14.32,46.94,52.73
10.69,50.04,301.5,15.05,7.24,1.92,4.5,14.19,45.05,54.21
10.83,48.74,290.34,15.96,7.36,1.91,5.3,15.12,35.94,45.6
11.37,49.09,271.89,15.21,7.07,1.95,4.4,14.36,43.74,54.39
10.9,49.76,282.33,15.66,6.91,1.94,5.2,13.44,38.64,55.11
11.5,51.15,291.28,14.74,7.46,2.02,4.9,12.47,39.52,59.48
10.76,50.42,269.06,14.37,7.09,1.9,4.65,13.82,41.24,44.36
11.59,51.13,272.34,15.04,6.46,1.98,4.7,13.94,43.07,66
10.28,46.9,268.86,14.83,7.34,1.87,3.95,12.06,38.51,50.2
11.08,50.48,274.88,15.06,7,1.89,4.4,14,41.27,62.13
11.12,50.24,282.16,15,7.08,2,4.45,12.99,43.76,56.04
11.39,51.35,274,14.97,6.68,2.02,4.7,14.49,42.63,54.53
11.04,49.21,287.39,14.7,7.24,1.86,5,11.56,37.39,59.95
11.07,52.35,293.18,14.57,7.04,1.98,4.4,15.16,43.09,56.44
10.94,50.41,271.41,14.92,7.25,1.9,4.55,12.98,41.15,52.5
11.51,52.36,279.11,14.85,7.34,1.92,4.9,13.79,41.01,56.4
11.04,48.01,265.84,14.29,7.15,1.85,4.3,12.05,41.33,51.34
11.18,49.09,262.47,14.93,7.21,1.92,4.3,12.82,40.96,52.87
11.3,50.18,289.63,15.75,7.05,1.98,5.35,12.98,43.1,50.04
11,50.18,278.23,14.79,7.14,2.1,4.6,12.47,38.04,48.61
11.18,49.77,284.04,14.89,7.15,1.83,4.8,13.24,41.1,57.8
11.39,52.62,281.95,15.71,7.17,2,4.8,13.64,48.45,52.8
10.69,49.26,314.83,14.76,6.82,1.87,4.1,14.32,49.76,59.34
11.33,49.65,278.02,14.87,7.3,2.01,4.6,12.52,42.05,48.45
11.18,50.55,265.22,15,6.89,1.97,4.54,13.33,38.09,56.42
11.1,52.3,318,14.56,6.75,2.06,4.6,13.8,44.52,62.56
11.13,49.83,271.7,14.57,7.43,2.01,4.5,12.17,40.42,43.71
11.24,49.29,268,15.08,7.32,1.86,4.9,11.33,35.85,57.7
11.95,52.89,280.14,15.89,6.77,2.06,4.9,14.04,46.27,60.92
11.48,49.17,290.45,15.57,7.18,1.9,4.4,14.71,42.27,60.78
11.2,50.49,298.86,15.02,6.77,1.88,4.5,14.85,42.92,64.11
11.01,50.29,303.8,15.16,7.26,1.85,4.1,15.31,47.51,56.34
11.38,50.65,274.32,15.53,7.06,1.86,4.8,12.63,38.57,65.43
11.29,51.94,314.15,15.76,6.77,1.93,4.9,13.73,43.77,71.44
11.63,49.69,262.87,14.94,6.91,1.94,4.5,12.09,41.66,56.73
11.21,52.37,291.67,14.92,7.37,2.13,4.91,12.54,35.62,49.08
10.9,49.46,294.36,14.49,6.85,2.04,4.3,12.32,40.7,52.62
11.05,52.14,288.71,14.91,7.14,1.93,4.75,13.57,40.21,52.9
11.52,50.98,274.45,15.83,7.06,1.95,4.6,13.87,44.84,52.82
11.14,50.1,264.56,14.85,6.47,1.86,4.7,12.89,42.7,51.76
11.23,50.6,288.34,14.84,6.9,1.93,4.3,13.8,44.48,55.46
11.04,50.83,285.3,15.51,7.13,1.95,4.6,12.97,41.77,53.68
11.17,50.2,281.16,15.04,6.92,1.83,5,12.96,39.3,53.74
11.19,50.76,268.99,14.64,7.09,1.98,4.5,11.92,34.06,56.22
11.15,51.21,269.86,15.31,6.8,1.93,4.75,12.16,39.56,56.87
11.1,50.15,306.26,15.38,6.71,1.98,4.85,12.72,44.28,55.76
11.1,51.34,304.48,15.16,7.3,2.01,4.7,12.87,39.32,54.89
10.81,49.76,271.22,15.96,7.13,1.9,4.65,13.52,36.08,49.99
11.49,50.92,275.48,15.62,6.8,1.93,4.16,14.74,46.48,56.36
10.98,50.29,318.07,14.93,7.11,1.89,5.01,12.74,41.08,54.56
11.02,50.64,290.97,14.86,7.13,1.92,4.3,13.05,40.24,57.07
11.07,49.27,273.51,14.75,7.19,1.94,4.7,10.75,33.76,53.07
11.6,51.87,281.46,14.63,6.94,2.03,4.1,14.08,38.55,61
11.16,49.71,282.89,15.09,7.12,2,4.3,12.44,34.84,59.42
10.96,49.9,281.16,14.92,6.71,1.86,4.6,12.91,37.43,57.47
11.38,51.53,282.66,15.29,7.01,1.93,5.05,12.34,34.27,60.85
11.28,50.19,283.48,15.28,7.39,2.06,4.6,11.68,37.87,47.86
11.03,50.25,282.4,14.72,6.45,1.97,4.4,12.53,42.3,54.02
11.05,50.29,302.13,14.43,6.93,1.98,4.3,13.22,37.98,56.26
10.95,50.66,283.53,15.42,7.48,1.98,4.4,12.08,34.23,53.33
11.38,51.66,266.97,15.03,6.89,1.89,4.7,12.4,37.82,54.98
10.93,48.78,277.99,14.76,7.34,1.85,4.3,11.04,38.45,49.64
11.01,48.82,302.59,15.79,7.1,1.86,4.8,12.69,34.1,61.45
11.26,54.42,293.94,15,6.77,1.89,4.61,13.07,44.22,64.01
11.06,48.32,268.06,15.15,7.12,1.83,4.6,10.49,36.44,52.57
11.05,52.36,308.47,15.76,7.58,1.97,4.7,13.02,39.39,53.93
11.33,50.84,281.65,14.67,6.85,2.08,4.2,12.38,38.86,52.28
10.96,49.86,284.14,15.33,6.9,1.92,4.3,12.31,40.56,55.08
11.94,52.87,312.82,15.63,6.94,2.03,4.8,16.04,46.54,50.25
11.43,49.85,276.6,15.62,6.82,1.93,4.26,13.94,43.52,51.16
11.07,51.14,320.94,15.18,6.91,1.97,4.14,13.69,46.73,58.68
11.43,51.51,285.09,14.98,6.93,1.98,4.6,13.12,35.03,57.92
11.31,50.98,284.11,14.65,7.1,2.03,4.3,12.92,38.5,47.57
11.3,51.41,268.57,16.19,6.87,1.94,4.5,13.11,38.6,58.54
11.02,47.81,288.46,15.7,6.98,1.93,4.4,12.99,36.75,51.2
10.93,49.36,283.59,15.09,6.98,1.99,4.3,11.81,36,51.01
11.06,49.32,293.11,14.78,6.55,1.97,4.5,12.96,39.94,48.1
10.86,52.06,332.62,14.7,6.83,1.9,5.3,14.05,38.34,48.1
11.05,50.64,310.34,14.2,6.41,1.9,5,12.82,39.86,50.56
11.49,51.99,318.96,16.04,6.82,2,4.4,15.41,49.2,55.1
11.06,52.66,295.34,15.37,7.03,1.85,4.6,14.35,43.68,50.2
11.18,50.98,275.87,14.87,7.25,1.99,4.2,12.68,34.63,50.08
11.11,50.96,322.84,15.69,7,2.01,4.7,13.29,39.88,57.08
11.07,49.92,277.06,15.15,7.13,1.91,4.1,12.92,40.03,48.21
11.21,50.19,270.78,14.69,6.92,1.93,4.6,11.39,33.29,52.38
11.36,50.44,272.92,15.53,6.63,1.85,4.6,13.6,40.53,53.2
11.05,49.96,294.24,14.91,6.88,1.89,4.7,12,38.84,51.66
11.03,46.74,268.12,14.51,6.4,1.92,4.4,11.93,34.07,44.78
11.58,51.74,262.96,15.41,6.65,2.01,4.3,12.91,40.74,52.96
11.34,51.35,289.08,14.78,7.32,2.02,5,9.8,30.58,55.34
11.23,51.68,297.8,15.75,7.11,1.91,4.44,14.73,43.86,49.09
11.49,51.04,273.81,14.72,6.58,1.77,4.6,13.4,40.3,55.55
11.29,50.04,278.9,15.41,6.54,1.91,3.7,13.91,44.08,59.64
11.36,50.9,307.53,15.16,6.81,1.87,4.47,14.99,42.51,54.13
11.54,51.21,281.15,15.34,7.2,1.93,4.3,12.06,38.47,59.48
11.03,49.55,335.52,15.27,7.51,1.98,4.4,12.47,40.65,51.92
11.19,50.34,302.55,15.36,7.11,1.85,4.1,13.23,42.79,59.72
11.3,50.78,269.63,14.94,6.91,1.95,4.5,12.08,34.07,51.84
11.43,52,296.48,15.61,7.06,1.96,4.5,14.61,38.62,54.09
11.26,48.92,293.78,14.56,6.84,1.89,4.6,12.13,35.11,53.1
11.2,51.5,279.58,15.03,6.87,2.01,4.3,12.11,35.16,56.27
10.95,49.84,308.23,15.06,7.09,2.07,4.3,12.33,37.72,47.66
11.29,50.63,284.35,15.2,6.95,1.9,4,14.41,42.48,49.88
11.47,50.96,303.39,15.97,6.89,1.99,4.4,14.44,42.26,54.91
11.11,50.56,288.38,15.59,7.25,1.95,4.2,12.86,36.42,54.62
11.13,49.43,271.22,14.84,6.44,1.74,4.7,13.57,37.87,48.06
11.14,50.47,284.58,14.74,6.52,1.88,4,12.67,42.99,57.2
11.24,50.65,299.28,14.21,7.1,1.95,4.4,11.95,36.5,51.42
11.2,50.9,275.74,15.51,7.22,1.94,4,12.95,39.09,51.3
11.37,51.94,296.28,15.01,6.53,1.85,4.8,13.59,39.81,58.39
11.83,51.01,270.28,15.95,6.96,1.84,4.7,13.25,39.61,56.11
11.07,49.04,275.59,14.69,6.72,1.85,3.9,13.18,37.37,53.3
11.43,52.31,298.98,14.69,6.61,1.97,4.2,14.08,42.5,56.06
11.06,48.77,294.24,15.38,6.98,1.93,4.4,10.29,39.29,56.15
11.07,49.37,277.63,14.95,7.38,1.93,4.2,11.4,34.7,46.67
11.38,51.52,305.2,15.96,7.25,2.09,4.4,12.36,38.53,55.89
11.15,50.58,297.79,14.68,6.94,1.91,4.4,11.37,38.96,55.81
11.43,50.62,274.58,15.04,6.86,1.92,4.3,12.6,35.46,55.6
11.25,50.41,271.51,14.72,6.77,1.83,4.3,12.82,40.19,47.7
11.26,50.28,279.63,15.51,7.36,1.88,4.2,14,39.1,43.58
11.36,51.47,289.08,15.31,6.58,1.96,4.4,13.37,38.56,58.09
10.72,48.34,286.41,14.57,6.73,1.84,5,11.48,33.04,39.14
11.51,53.62,290.3,15.63,6.9,1.9,4.7,14.06,41.68,54.64
11.29,50.26,275.67,16.44,6.36,1.9,4.8,12.69,36.69,60.25
11.4,49.41,282.47,15.3,6.85,1.89,4.31,12.57,40.22,51.66
11.26,49.79,273.04,16.56,6.45,1.87,5.25,12.52,35.54,51.34
10.97,48.32,274.86,15.12,6.75,1.81,4.4,11.91,36.36,49.49
11.12,52.18,306.43,15.73,6.99,1.75,4.4,14.38,40.06,65.36
10.96,50.51,310.24,15.32,6.8,1.92,4.8,13.35,38.8,47.36
11.25,50.07,271.16,14.67,6.62,1.75,4.1,12.6,37.68,59.77
10.42,49.91,335.55,14.88,7.1,1.93,4.41,11.74,39.56,49.54
11.42,51.38,281.43,15.68,6.8,1.89,4.6,14.03,37.14,52.8
11.11,50.26,332.73,15.01,7.34,1.99,4.6,12.36,37.46,50.14
10.64,48.51,284.9,15.3,7.06,1.84,3.8,12.33,39.06,48.76
11.67,51.26,276.53,15.63,7.18,2.01,4,12.58,39.2,54.16
11.72,51.14,270.6,16.11,6.35,1.92,4.1,14.17,40.96,62.93
11.24,51.06,311.75,15.89,6.43,2.01,4.1,14.04,38.79,67.48
11.11,49.33,281.46,15.02,6.81,1.94,4.2,12.77,35.16,47.85
11.35,48.8,263.9,15.32,6.47,1.8,4.2,11.8,38.72,56.64
11.29,47.98,274.52,15.05,6.84,2.01,4.4,11.24,34.1,41.7
11.28,50.92,268.49,15.38,6.97,2.01,4.45,11.9,33.81,45.33
11.09,51.93,276.81,15.52,6.98,1.9,4.5,11.13,36.52,55.3
11.09,50.83,277.87,15.67,6.84,1.83,4.8,12.06,32.99,54.76
11.23,51.47,280.84,15.47,7.26,2.14,4.1,11.02,37.37,44.81
11.14,49.32,267.62,15.64,6.7,1.8,4,13.51,36.64,54.74
11.72,50.36,277.3,15.47,6.47,2.01,4.05,11.67,43.58,56.94
11.3,51.71,308.06,15.65,6.88,2.08,4.2,13.12,40.6,53.38
11.55,50.87,305.28,15.83,7.08,1.88,4.3,13.59,41.31,58.97
11.36,50.95,286.57,15.89,6.97,1.86,4.6,12.9,40.04,50.84
11.08,50.02,293.91,15.35,6.56,1.8,4.6,13.96,40.86,46.64
10.92,51.55,283.72,14.53,7.27,1.98,4.4,11.82,34,37.98
10.84,50.91,288.54,14.67,7.09,2.03,4.24,12.28,30.88,43.02
11.47,51.63,269.66,16.48,6.83,1.86,4.7,12.78,39.38,52
11.38,51.68,322.71,15.67,6.79,2.02,4.6,13.36,41.82,52.94
11.12,52.47,281.66,15.28,7.26,1.9,4.4,12.82,34.72,48.08
12.06,52.9,281.94,15.92,6.82,1.88,4.1,14.45,44.87,60.76
11.35,51.43,272.04,15.62,6.66,2.03,4.6,11.64,39.32,42.79
11.14,51.31,278.53,14.69,6.72,1.78,4.4,12.04,37.68,53.11
10.67,48.84,280.51,14.94,6.86,1.95,3.4,12.31,33.08,52.39
11.44,50.84,272.13,15.14,7.24,2.01,3.6,11.47,34.03,56.72
11.06,49.69,325.7,15.21,6.84,1.74,4.5,13.41,43.4,53.57
11.52,52.01,292.13,14.85,6.68,1.95,4.36,13.74,36.1,53.57
11.5,53.07,293.49,15.94,6.77,1.98,4.8,13.56,38.78,50.13
11.43,53.09,307.66,15.62,6.6,1.85,5,13.95,40.48,54.79
11.66,51.48,262.76,15.16,6.67,1.92,4.3,12.48,36.89,50.51
11.12,48.98,268.03,15.06,7,2.03,4.3,10.5,28.61,43.63
10.84,48.59,294.42,15.14,7.4,1.8,4,11.9,34.95,48.66
11.32,50.18,290.15,15.87,7.01,1.81,4.2,13.95,39.86,51.81
11.5,50.17,285.52,15.14,6.85,2.06,4.1,11.61,39.23,46.37
11.78,51.03,274.41,15.44,6.85,1.92,4.6,12.15,38.03,48.69
11.15,50.46,281.16,15.04,6.55,1.83,4.3,12.11,39.09,52.12
10.99,53.24,291.82,16.17,6.92,1.89,4.9,11.47,38.31,53.02
10.58,47.88,295.79,15.34,6.92,1.79,4.58,11.94,33.58,41.68
11.13,47.81,259.73,14.84,6.23,1.93,4,11.16,32.62,48.44
11.77,51.29,271.41,16.56,6.74,2.03,4,13.36,43.7,49.04
11.47,51.8,289.1,15.17,7.15,1.91,4.4,11.83,35.97,52.79
11.25,51.13,281.54,15.56,6.92,1.83,4.7,12.18,36.98,47.16
11.65,51.31,279.73,15.42,6.91,1.95,4.45,13.92,39.22,39.12
11.52,53.71,313.87,15.28,6.88,2.02,4.45,13.34,39.92,54.15
11.51,53.25,290.46,15.32,6.9,1.86,4.1,14.93,44.37,47.34
10.98,50.44,299.61,15.05,7.11,1.9,4,11.33,37.59,52.68
10.96,48.62,272.63,15.18,6.8,1.75,4,11.21,37.2,51.05
10.51,50.24,303.38,14.69,7.32,1.86,4.1,11.14,34.07,45.58
11.19,52.37,294.41,15.22,7.12,1.81,4,13.05,37.58,58.57
11.14,52.98,295.33,15.34,6.73,1.87,4.6,11.81,34.12,61.54
11.98,52.46,284.67,15.33,6.23,1.92,4.5,13.67,39.05,59.76
10.94,51.16,284.84,14.82,7.11,2.04,3.9,10.74,34.06,46.13
10.78,48.81,285.75,15.73,6.62,1.84,3.7,12.79,40.68,50.1
11.2,50.21,289.3,15.7,6.77,1.92,4.5,11.98,33.28,52.73
11.34,53.88,311.39,15.47,6.64,1.91,3.8,14.41,39.38,69.77
11.59,49.78,295.83,15.16,6.49,1.91,4.1,13.1,39.29,55.15
11.11,49.89,268.19,15.67,6.7,1.83,4,12.77,36.61,49.23
11.34,51.81,279.93,15.61,7.13,2.02,4.3,11.18,33.5,49.5
11.28,49.99,283.34,15.73,6.79,1.9,4.1,13.03,36.81,50.03
10.95,48.78,271.65,14.45,6.43,1.73,5,9.36,29.69,47.77
11.55,53.46,293.58,15.47,7.4,2.07,4.2,11.49,34.48,53.67
10.87,50.81,322.68,15.87,7.2,1.93,4.1,13.83,33.96,54.2
11.15,49.81,272.15,15.21,6.51,1.89,4.2,13.06,36.09,41.88
10.84,49.09,293.53,14.52,6.35,1.89,4.3,11.85,34.4,45.32
11.13,49.91,295.36,14.96,7.02,1.98,3.45,13.43,34.02,50.64
11.71,50.71,275.27,16.15,6.4,1.92,4.75,12.76,37.96,48.44
11.26,51.76,293.74,15.42,6.77,1.8,5.1,11.89,35.57,48.1
11.47,51.1,267.15,15.74,6.87,2,3.9,12.65,36.29,46.39
11.67,50.89,274.23,14.5,6.53,1.85,4.5,11.47,35.12,50.79
11.3,50.91,273.68,15.46,7.36,1.99,3.9,12.12,29.54,47.68
11.63,51.24,267.52,15.94,6.58,1.92,4.1,12.25,36.51,57.08
10.99,51.69,268.12,15.42,6.61,1.83,4,12.1,37.2,51.62
11.03,49.58,301.53,15.3,7.17,1.8,4,11.27,33.21,60.18
11.5,53.13,301.39,15.2,6.64,1.89,4.5,14.02,44.52,43.32
11.52,48.7,283.21,15.71,6.73,1.88,4.4,10.57,33.33,57.5
11.07,50.12,275.52,14.94,6.97,1.86,4.1,11.09,37.59,41.17
11.21,49.43,283.71,14.73,6.74,1.88,4.2,11.25,36.64,44
11.46,51.27,280.73,15.46,6.64,1.98,4.2,11.32,36.95,52.77
11.53,52.36,297.83,15.08,6.85,1.9,4.4,11.96,40.45,51.2
11.24,49.82,301.33,15.44,6.91,1.9,4,12.25,36.56,54.18
11.1,49.15,282.33,14.96,6.95,1.89,4.1,11.91,37.32,36.52
10.87,48.44,279.49,15.2,7.25,1.84,3.8,12.2,31.19,42.32
11.07,51.78,298.57,15.67,6.79,1.89,5,11.6,36.24,43.68
11.48,51.36,305.16,15.43,6.68,2.01,4.1,11.9,38.11,57.63
11.25,51.94,291.45,15.43,6.89,1.9,4.2,13.26,32.36,54.36
11.98,53.36,270.49,17,6.42,1.94,4.2,13.6,45.16,57.3
11.44,51.1,297.47,15.08,7.17,1.94,4,13.16,36.26,45.92
11,51.34,297.69,14.38,6.78,1.88,4,12.86,34.05,48.1
11.64,52.21,273.36,16.09,6.72,1.86,4.3,12.63,39.3,53.66
11.67,51.92,274.11,15.91,6.63,1.85,4,12.81,37.91,60.87
11.67,52.79,289.57,16,6.82,1.89,4.1,12.68,39.25,62.05
11.47,52.2,286.08,15.59,7.05,1.85,4,13.13,36.96,54.67
11.29,50.09,282.6,14.44,5.92,1.86,3.55,12.97,43.36,51.54
11.16,48.2,284.26,15.1,6.68,1.75,4.7,11.54,32.74,42.78
11.62,53.16,314,15.3,6.65,1.8,4.6,13.78,39.87,58.24
11.51,51.58,301.09,15.28,6.9,1.83,4.2,12.25,40.83,54.47
11.72,52.4,272.6,15.56,7,1.91,4.3,11.03,36.13,53.29
11.47,51.48,277.89,15.2,7.04,1.92,4.3,12.46,32.33,44.28
11.92,51.01,278.27,15.43,7.18,2,4.4,9.42,30.34,56.63
11.23,51.78,286.04,15.81,6.79,1.83,4,13.21,38.66,52.94
11.47,50.24,281.7,15.67,6.9,1.84,3.9,13.88,37.15,47.53
11.07,50.45,277.14,15.31,6.44,1.72,3.95,12.91,40.53,49.64
11.53,52.49,300.65,15.41,6.97,1.96,4.4,12.48,36.58,48.78
11.29,50.41,280.86,15.48,6.6,1.94,4.1,11.97,34.84,48.9
11.57,50.49,268.97,15.72,7.13,1.89,4.6,10.63,32.8,42.64
11.31,50.07,306.39,15.07,7.03,1.86,4.1,12.63,36.2,48.24
11.25,50.37,292.27,15.28,6.89,1.88,4.04,12.52,33.57,50.7
11.39,52.8,286.38,16.22,6.85,1.89,3.9,13.3,40.3,54.9
11.37,49.78,266.4,15,6.89,1.85,3.8,11.75,31.87,48.68
11.2,50.36,278.72,15.83,6.75,1.89,4.7,10.24,30.4,50.49
11.05,50.8,304.74,15.63,6.79,1.9,3.95,13.06,37.62,50.54
11.59,53.53,289.77,16.39,6.67,2.01,4.6,13.03,34.94,52.6
11.11,50.78,297.22,15.7,6.86,1.92,3.7,14.09,35.17,50.16
11.56,51.49,299.71,15.68,7.04,1.82,4.4,13.89,38.66,45
11.13,52.46,306.55,16.13,6.8,2.05,4,12.45,37.46,52.72
11.44,52.04,274.4,16.23,6.74,1.92,3.8,12.05,35.4,60.62
11.11,48.58,269.6,16.62,6.63,1.81,3.2,13,39.35,55.26
11.74,51.18,276.48,15.73,6.74,1.91,4.5,12.28,36.26,44.22
11.22,51.63,280.62,16.21,6.7,1.92,4.2,11.96,38.59,47.85
11.47,51.64,284.72,15.44,6.87,1.82,3.8,12.58,41.04,51.71
11.19,49.64,263.03,15,7.04,1.86,4.1,11.73,32.54,32.2
11.63,50.84,275.92,15.95,6.88,1.93,4.1,12.03,32.14,53.69
11.19,49.55,285.67,15.48,6.79,1.65,3.5,11.64,40.55,62.15
11.07,49.93,289,15.45,6.97,1.96,4.3,10.51,32.68,42.25
11.32,50.91,287.74,15.82,6.63,2,3.9,11.09,44.31,43.33
11.55,52.58,286.38,16.25,6.14,1.84,4.45,12.88,39.98,59.16
10.83,51.15,294.34,14.35,7.07,1.93,4.05,11.24,33.16,35.96
11.27,50.39,268.63,15.22,6.69,1.96,4.5,10.28,30.03,40.21
11.6,51.81,297.13,15.23,6.59,1.8,4.4,12.36,41.33,50.43
11.45,52.44,317.32,15.4,6.28,1.86,4.3,13.71,44.18,52.38
11.74,50.27,258.04,15.36,6.6,1.76,3.8,12.19,36.52,52.37
11.21,48.19,273.49,15.36,6.61,2.01,3.8,10.84,29.92,44.4
11.39,52.76,298.13,15.04,6.2,1.84,4.35,12.53,40.26,53.63
11.61,50.41,308.03,16.02,6.78,1.91,4.6,12.77,33.28,51.54
11.52,53.14,318.68,15.86,6.61,1.88,4.1,13.06,42.44,61.15
11.28,52.4,285.29,16.29,6.72,1.84,4.07,12.28,39.86,53.75
11.3,53.73,291.11,15.59,6.68,1.84,4.65,11.77,36.88,50.24
11.41,52.25,284.59,15.11,6.88,1.92,4,13.35,34.9,41.78
11.13,51.97,297.36,15.48,6.79,1.82,4.3,12.33,35.33,50.33
10.85,50.37,287.96,16,7.18,1.96,3.8,10.62,31.97,47.7
11.58,50.95,279.86,15.68,6.76,1.89,3.8,12.88,36.64,49.46
