"pealkiri","liik","aasta","tekst"
"Ehitusinseneride akadeemilise hariduse vastavus erinevatel ehituse juhtimise astmetel töötamiseks","2. Magistritööd","2021","Ehitusinseneri töö on saanud üheks oluliseks teguriks kogu ühiskonna heaolu ning 
tsivilisatsiooni edendamisel. Selle tulemusel on hüppeliselt kasvanud ehitustööde maht 
ning vajadus tööjõu järele. Võttes arvesse nii ehitiste kui ka ehitamise kasvavast 
tehnilisest keerukusest tulenevaid tehnoloogilisi muutuseid, suureneb pidevalt vajadus 
valdkonna spetsialistide järele, kelle erialane ettevalmistus võimaldaks neil 
muudatustega samas rütmis liikuda. Sellest tulenevalt vajab Eesti ehitusinseneride 
haridusvaldkond uurimist ning täiustamist, et tagada parim väljaõpe ehitusvaldkonnas 
tegutsevatele spetsialistidele, mis ühtlasi aitaks tulevastele ehitusobjektidele
valdkonnast veelgi teadlikumat, oskuslikku ning kvaliteetset väärtuslikku tööjõudu
kaasata.
Töö eesmärgiks on uurida Eesti kõrgkoolidest sirgunud ehitusinseneride akadeemilist 
ettevalmistust ehitusobjektil erinevate juhtimise astmetel töötamiseks. Uuringu 
andmeid koguti küsitluse formaadis, mille vastuste mõõtmismeetodiks kasutati Likerti 
skaalat ehk viiepallisüsteemi. Valimi moodustasid Eesti Vabariigi ehitusvaldkonnas 
tegutsevad suuremad ehitusettevõtted, kelle peamiseks suunaks on pakkuda peatöövõtu 
teenust. 
Uuringu tulemusena tuuakse välja hariduse vastavus erinevatel juhtimise astmetel
töötamiseks ning õppevaldkonnad, mis õppetööde ette valmistamisel suuremat 
tähelepanu nõuavad. Peamisteks uuritavatateks teemadeks on teadmiste ja oskuste olemasolu ning suhtlemis- ja koostööoskus alltöövõtjate ja kolleegidega. Tulemuste
põhjal on võimalik Eesti kõrgkoolidel ja teistel ehitusvaldkonnas olevatel sidususrühma 
liikmetel võimalik korrektuure teha, tagamaks ehitusinseneridele parima 
ettevalmistuse. 
Varasemalt ei ole samateemalist uurimistööd teostatud. Käesolevat magistritööd on 
võimalik täiendada veel põhjalikemate küsimustega, lisaks oleks vajalik suurendada 
sihtrühma suurust. Täiendavalt on soovitatav uuringusse kaasata lisaks ehituse 
projektimeeskonnale ka projekteerimismeeskond."
"Taga-Tikuta metsamajandamiskava ja Võrumaa metsade inventeerimise andmete analüüs 2014 aasta näitel","1. Bakalaureusetööd","2015","Selleks, et metsade majandamise kavandamine oleks jätkusuutlik tuleb metsi inventeerida
perioodiliselt, et oleks maaüksuse tasemel võimalik koostada või aktualiseerida
metsamajandamiskava. Metsamajandamiskavas planeeritakse erinevaid metsanduslikke
töid võttes arvesse nii erametsaomaniku eesmärke erametsades kui ka laiemaid
ühiskonnahuvisid. Erametsade inventeerimine toimub küll litsenseeritud eraettevõtete
poolt, samas riigimetsa korraldab Riigimetsa Majandamise Keskus ise.
Üheks bakalaureusetöö eesmärk oli praktikas läbi teha metsakorralduslik protsess,
koostades uus metsamajandamiskava Taga-Tikuta kinnistule. Teise töö osana võrdlevalt
analüüsida Võrumaal 2014 aastal inventeeritud riigimetsade- ja erametsade andmeid.
Töös on kasutatud välitööde käigus kogutud andmeid mida hiljem on töödeldud Eesti
Maaülikooli metsakorraldusliku programmiga Mmkava, samuti koostati kinnistule
metsamajandussoovitused järgnevaks majandussperioodiks.
Töö tulemusel selgus, et Taga-Tikuta kinnistule inventeeriti juurde kolm uut eraldist ja
andmete analüüsi käigus selgus, et 2014 aastal enim raiesse planeeritud puuliik mänd 64%
osakaaluga.
Taga-Tikuta metsamajandamiskava soovitakse kasutada reaalse metsamajandamiskavana
ja inventeerimisandmed edastada metsaregistrisse."
"Riskid ja riskijuhtimine Eesti põllumajandusettevõtetes","2. Magistritööd","2015","Magistritöö eesmärgiks oli selgitada välja riskid ja nende juhtimiseks
kasutatavad meetmed Eesti põllumajandusettevõtetes. Töö teoreetilises osas
anti ülevaade riski ja riskijuhtimise olemusest, riskide liikidest ja nende
omavahelistest seostest, riskide hindamise meetoditest ning maandamiseks
kasutatavatest meetmetest põllumajanduses. Töö empiirilises osas selgitati välja
Eesti põllumajandusettevõtetes esinevad riskid ja nende juhtimiseks
kasutatavad meetmed. Veebipõhises ankeetküsitluses hindasid Eesti
põllumajandusettevõtjad tootmis-, turu-, finants-, institutsionaalseid ja isiklikke
riske. Suurimateks riskideks peeti toodangu ja tooraine hindade kõikumist,
ebasoodsaid ilmastikutingimusi, muudatusi toetuste süsteemis ja ebakindlust
poliitilistes meetmetes, vähemolulisemateks hinnati lepingutega seotud riske,
muudatusi tarbijate käitumises ja vahetuskursi, intressimäära kõikumist. Toodi
välja võrdlused varasemate uuringute tulemustega. Riskide omavahelisi seoseid
võrreldi korrelatsioonanalüüsiga ning nende esinemise tõenäosuste ja mõju
ulatuste seoste võrdlemiseks koostati riskimaatriks. Riskide maandamise
meetmetena leidis Eesti põllumajandusettevõtetes enim kasutust piisavate
reservide loomine lattu, jätkusuutlikemate taimesortide ja loomatõugude
kasutamine ning koostöö teiste põllumajandustootjatega, vähem kasutati
tegevuse kindlustamist ja positsioonide võtmist tuletisinstrumentide turgudel.
Täiendavate meetmete osas esines vajadus riigipoolse rahalise toetuse
suurenemise ja turustusvõimaluste laienemise järele."
"Autovärava juhtsüsteem","Rakenduskõrgharidusõppe lõputööd","2016","Antud töö eesmärk on koostada töötav autovärava juhtsüsteem, mis on mõeldud
kasutamiseks kodustes majapidamistes. Süsteem peab olema võimeline juhtima kuni kahte
väravat. Mootorid, millega väravaid liigutatakse võivad olla nii vahelduvvooluga, kui ka
alalisvooluga töötavad. Väravaid on võimalik juhtida juhtmeühendusega ning raadioside
kaudu.
Lõputöös valmistatakse neli trükkplaati. Kõige tähtsam nendest on juhtplaat, mis suhtleb
teiste plaatidega ning saadab käsklusi edasi. Teiseks plaadiks on andurite plaat, kuhu
ühendatakse kaks andurit. Kolmandaks on mootorite juhtplaat, mis otseselt juhib
mootorite tööd. Neljandaks plaadiks on kaugjuhtimispult, mis saadab infot, mida
väravatega parasjagu teha. Juhtplaat suhtleb andurite ja mootorite juhtplaadiga RS-485
standardi alusel ning puldiga raadioside abil, mida kontrollib raadio moodul.
Valminud juhtsüsteemi kasutab autor oma kodus. Kuna hetkel on olemas töötav väravate
juhtsüsteem ning on mootorid väravatega ühendatud, siis autor ühendab mootorid oma
süsteemiga ning juhtimine käib läbi selle. Uue süsteemi peaeesmärgiks on mugavus, kuna
uuel süsteemil asub juhtplaat toas, ning sealt on võimalik väravaid juhtida ning kõiki
parameetreid muuta."
"Tööjõu kasutus ja tootlikkus ettevõttes UPM-Kymmene Otepää OÜ aastatel 2014, 2018 ja 2020","1. Bakalaureusetööd","2021","Tööstusettevõtete tööjõu tootlikkuse kujunemisel on võtmeteguriteks õige tööjõu kasutus
ning ettevõtte arenguks vajaminevate investeeringute teostamine. Bakalaureusetöö eesmärk
oli analüüsida tööjõu kasutust ja tööjõu tootlikkust ettevõttes UPM-Kymmene Otepää OÜ
aastatel 2014, 2018 ja 2020.
Töös kasutati dokumendivaatlusel põhinevat kvantitatiivset uurimismeetodit ettevõtte
tööjõu kasutuse ja selle struktuuri ning tootlikkuse analüüsiks. Kvalitatiivne uurimismeetod
hõlmas autori intervjuusid ettevõtte juhtkonnaga, et selgitada välja arvamused tööviljakust
mõjutavate tegurite osas. Tööjõu tootlikkuse hindamisel kasutati bakalaureusetöös
võrdlusanalüüsi, kus võrreldi UPM-Kymmene Otepää OÜ tööviljakuse näitajaid Eesti
keskmise ja Eesti puidutööstuse keskmise tööjõu tootlikkuse näitajatega.
Uurimuse tulemusel selgus, et võrdlusaluste aastate jooksul oli ettevõtte tööjõu kasutus
muutunud eelkõige investeeringute tulemusel. 2016. aastal ettevõttes tehtud tootmisala
laienduste tõttu lisandus 2018. aastal enim töötajaid tootmisüksustesse. Ka tööjõu tootlikkus
suurenes 2018. aastal peamiselt tootmismahte suurendavate investeeringute tagajärjel.
2018. aasta tööjõu tootlikkuse näitajad suurenesid baasaastaga (2014) võrreldes 2-4%.
2020. aasta tootlikkuse näitajad olid seevastu 2014. aastaga võrreldes kuni 26% madalamad.
Tööstusettevõtte UPMi 2020. aasta tööjõu tootlikkuse tulemusi mõjutas kõige enam
maailmas valitsenud kriis. Võrdlusanalüüsi tulemustest selgus, et UPMi tootmistööliste
tööjõu tootlikkus oli oluliselt suurem Eesti ja puidutööstuse keskmisest tööjõu tootlikkusest, mis näitab ettevõtte tootlikkuse väga head taset. Lisandväärtuse alusel tööjõu tootlikkus
ettevõttes UPM ületas 2014. aastal koguni 280% võrdlusaluste näitajate tööjõu tootlikkuse.
Ettevõtte kogu töötajaskonna tööjõu tootlikkuse võrdlusel oli UPMi näitajad 2018. aastal
jätkuvalt Eesti ja puidutööstuse näitajatest vastavalt 37% ja 51% suuremad."
"Bioturvalisus Eesti lihaveisefarmides","2. Magistritööd","2021","Lihaveiste bioohutust puudutavaid aspekte ei ole Eestis varem uuritud, antud 
magistritöö on esimene sellelaadne. Käesolevas magistritöös uuriti lihaveisekasvatajate 
bioohutusalaseid tavasid. Uurimistöö eesmärgiks oli välja selgitada bioohutuse ja 
tauditõrje hetkeseis Eesti lihaveisefarmides ning seda olukorda kirjeldada ja teha 
üldistusi.
Töö põhineb ajavahemikul 1. aprillist 1. maini 2021. aastal lihaveisekasvatajate seas 
läbiviidud küsitlusel. Uuringus osales üle Eesti 53 ettevõtet, kes tegelevad lihaveiste 
kasvatamisega. Küsitluse levitamisel kasutati Eesti Lihaveisekasvatajate Seltsi abi, kes 
saatis liikmetele uuringus osalemiseks vajaliku info e-kirjaga. Küsitluse linki jagati ka 
sotsiaalmeedias (Facebookis) lihaveisekasvatajate gruppides.
Uurimistöös kasutatavad suuremad teemagrupid on seotud: veterinaar- ja 
seemendusteenusega, desinfitseerimisega, bioohutust tõstvate tegevustega ettevõttesse sisenemisel, veiste soetamisel tekkivate ohtudega, näitustega, veiste eraldamisega, 
erinevate rutiinsete kontrollidega, haigusi ja taude ennetavate meetmetega.
Töös tuuakse välja 17 statistiliselt olulist tunnust ning nendevahelised erinevused ja 
seosed, mis mõjutavad farmi bioohutust. 
Uurimus annab ülevaate Eesti lihaveisekasvatajate bioohutustavadest ning loob 
võimaluse tõhustada veiste tervisealast programmi ja bioohutusalaseid tegevusi, et 
vähendada haiguste levikut lihaveisekasvatussektoris.
Käesoleva töö tulemusi saavad veisekasvatusettevõtted aluseks võtta riskianalüüside ja 
bioohutusalaste juhendite koostamisel ning strateegiate väljatöötamisel."
"Roheline tänav","1. Bakalaureusetööd","2016","Jäätmemajanduse reguleerimise eesmärk on võimalikult palju võtta jäätmeid ringlusesse ja
taaskasutada neid. Jäätmete ladestamine peaks toimuma viimase võimalusena. Jäätmeid õnnestub
taaskasutusse suunata aga vaid siis, kui neile on turg või kui neist midagi valmistada osataks. Oleks
hea kui jäätmetest saadud tooteid kasutataks võimalikult suurel hulgal. Üheks võimaluseks on
jäätmeist saadud tooteid kasutada avalikus ruumis.
Käesoleva bakalaureusetöö eesmärk on välja selgitada, kas on võimalik kujundada linnaruumi,
tänavaid, teid ja muid rajatisi keskkonnasäästlikul moel taaskasutatud jäätmematerjalist.
Töös kirjeldatakse materjale, mida on võimalik toota jäätmetest ning kirjeldatakse nende toodete
kasutusalasid. Leitud materjalid rakendatakse näitena Tallinnas asuva Raadiku 8
õuekujundusprojektis ning lisati tänavatel ja teedel kasutatavate jäämetest tehtavate materjalide
loetelu.
Raadiku 8 õuekujundusprojektis on nimekirjas 35 nimetust materjali-inventari kohta. 20 kohta leiti,
et neid saab asendada jäätmetest tehtuga, viit saab asendada osaliselt, eelkõige plastdetaile. Lisaks
leiti materjale, mida saab kasutada sõidu- ja kõnniteede ning halajasalade rajamisel.
Jäätmetest tehtud toodetesse suhtutakse sageli eelavamusega, kuid kui sellistele toodetele on
väljastatud sertifikaadid, tekib võimalus, et Eestis hakatakse jäätmeist valmistatud tooteid ka
laialdasemalt kasutama."
"Looduslikkuse taastamisvõtete tulemuslikkuse hindamine Karula rahvuspargis","1. Bakalaureusetööd","2020","Looduslikkuse taastamise eesmärk on saada liigiliselt ja struktuurilt maksimaalselt
looduslähedane ökosüsteem. Taastamisvõtetega on võimalik kaitsealadel taastada
majandusmetsas haruldaseks muutunud struktuurielemente.
Bakalaureusetöö eesmärk on analüüsida Karula rahvuspargis 2000. aastal läbi viidud
metsade looduslikkuse taastamisvõtete (häil läbimõõduga 12 m, ülepõletatud häil
läbimõõduga 25 m) mõju puistule, selle struktuurile, looduslikule uuendusele ja hinnata
looduslikkuse taastamisvõtete mõju soontaimede, sammalde, samblike ja torikuliste
liigilisele koosseisule. Võtete eesmärk on muuta eelnevalt majandatud mets
mitmekesisemaks sarnaselt reservaadialadele.
Käesoleva töö andmestik on kogutud KIKi 2019–2020. aasta projekti „Looduslikkuse
taastamise katseala uuringu jätkamine Karula rahvuspargis“ raames looduslikkuse
taastamise katsete tegemiseks ja jälgimiseks rajatud püsiproovitükkidelt. Lisaks kasutatakse
analüüsides 2014. aasta Karula rahvuspargi kordusmõõtmiste ja -seirete käigus kogutud
andmeid.
Andmetabelite koondamine toimus arvutustarkvaraga MS Excel, kus arvutati ka sammalde,
torikuliste, samblike ja soontaimedele mitmekesisuse ehk Shannoni indeks. Andmete
analüüsimine toimus vabavaralise statistikapaketiga R ja programmi PC-ORD erinevate
analüüsivormidega. Analüüsiti puude takseertunnuste sõltuvust erinevatest võtetest.
Bakalaureusetöö tulemustest tuli välja, et kui võrrelda erinevaid võtteid kontrollalaga, siis
ülepõletatud häiluga ala looduslik uuendus oli suurem kui kontrollalal. Seega põletamise
eesmärk muuta majandatav mets liigirikkamaks on andnud positiivse tulemuse.
Alustaimestu analüüsides erinevad võtetega alad ja kontrollalad reservaadialadest."
"Potentsiaalsete püüniskultuuride atraktiivsus rapsi võtmekahjuritele","1. Bakalaureusetööd","2014","Viimase kümne aasta jooksul on rapsi külvipinnad kolm korda suurenenud, mis on loonud sobivad kasvu- ja paljunemistingimused kahele olulisele rapsikahjurile – naeri-hiilamardikale ja kõdra-peitkärsakale. Sageli võideldakse nende vastu insektsiididega, mis hävitavad ka kahjurite looduslikud vaenlased, parasitoidid. Üheks võimalikuks viisiks kahjurite arvukuse reguleerimiseks on püüniskultuuride kasutamine. See säästab loodust liigsetest insektsiididest ja annab võimaluse parasitoidele kahjurite hävitamiseks.
Käesoleva töö eesmärgiks oli välja selgitada, kuidas mõjutasid püüniskultuurid naeri-hiilamardika ja kõdra-peitkärsaka valmikute ning parasitoidide arvukust, parasiteerituse taset ja kõtrade kahjustusi. Katse viidi läbi 2013. aasta suvel Eesti Maaülikooli katsepõllul Rõhu katsebaasis. Katseala koosnes püüniskultuuridega ja musta kesaga piirnevast rapsipõllust.
Uurimustöö tulemustest selgus, et püüniskultuurid mõjutasid naeri-hiilamardikate valmikute arvukust, võrreldes kontroll-alaga oli valmikute arv oluliselt madalam. Ka kõdra-peitkärsaka arvukus oli püüniskultuuriga piirnenud põllul madalam, kuid liialt madala arvukuse tõttu olulisi erinevusi ei leitud. Naeri-hiilamardika parasitoidide arvukus oli kontroll-alal kõrgem, kui püüniskultuuriga piirneval alal, kuid üldine parasitoidide arv oli mõlemal põllul taime kohta ligilähedaselt sarnane. Kõdra-peitkärsaka vastsete arvukus oli oluliselt kõrgem püüniskultuuriga põllul. Naeri-hiilamardikate vastsete parasiteeritus püüniskultuuriga alal küündis 30,2%,-ni, mis on küllalt lähedane sellele, millal parasitoidid suudavad peremeesputuka populatsiooni suurust kontrolli all hoida (üle 30%). Seega on tulemus piisavalt hea, et võiks soovitada püüniskultuure integreeritud taimekaitse osana kasutusele võtta. Kõdra-peitkärsaka parasiteeritus ulatus püüniskultuuriga põllul 68%-ni, mis on piisav selleks, et kontrollida kärsakate arvukust kasutamata sünteetilisi taimekaitsevahendeid.
Tuginedes katsetulemustele võib järeldada, et püüniskultuuride kasutamine rapsi võtmekahjurite tõrjel, aitab vähendada naeri-hiilamardikate populatsiooni. See juures vältides insektsiide kasutamist antakse võimalus parasitoididel levida ja vähendada järgmiste hiilamardikate põlvkondade arvukust."
"Häiringud Taevaskoja matkaradu ümbritsevas looduses: kelle poolt on need põhjustatud","1. Bakalaureusetööd","2021","Viimaste aastate pidev külastajate arvu kasv matkaradadel toob endaga kaasa inimeste 
poolt põhjustavate häiringute rohkuse looduskeskkonnas.
Töö eesmärgiks on välja selgitada, millised matkaradade kasutajad põhjustavad radade 
ümbruses loodusele häiringuid. Töö on oluline, et mõista, kuidas tuleks häiringuid 
põhjustavate inimeste poole pöörduda ning mil viisil on võimalik antud käitumist muuta.
Töö viidi läbi kasutades kvantitatiivset uurimismeetodid. Töö autor koostas 
internetipõhise küsimustiku platvormil Google Forms, et koguda piisav hulk andmeid 
statistilise uuringu analüüsi tarbeks.
Bakalaureusetööst selgus, et inimeste soov teada kuidas on sobilik käituda 
looduskeskkonnas on madal. Teiste külastajate poolt on märgatud enim loodushäiringuid 
korda saatmas just täiskasvanuid.
Parema ülevaate saamiseks oleks soovitatav edaspidistes uuringutest kasutada 
vaatlusmeetodid, et saada teada, mis vanusegrupid põhjustavad peamiselt 
loodushäiringuid. 
Tööst saadud info põhjal saab järeldada, et oleks vaja uurida edasi, kas teabe jagamine 
(sobilikust käitumisest looduskeskkonnas) läbi infovahendajate, mida inimesed kõige 
rohkem tarbivad, tagaks loodushäiringute vähenemise looduskeskkonnas."
"Metsade looduslikkusega seotud struktuurielementide esinemine kaitsealadel Haanja looduspargi ja Karula rahvuspargi näitel","1. Bakalaureusetööd","2015","Käesoleva töö eesmärgiks oli uurida surnud puiduga seonduvate metsa struktuurielementide
esinemise sõltuvust kaitseala tüübist, kaitsekorrast, loodusdirektiivi elupaigatüübist ning metsade
kujunemise ajaloost. Töö on teostatud Karula rahvuspargi ja Haanja looduspargi näitel ja tugineb
autori poole teostatud välitöödel. Analüüsitavateks struktuurielementideks olid kuivanud
jalalseisvad puud, tüükad, erinevates lagunemisastmes ja jämedusklassis lamapuit ning häilud.
Kogutud andmeid analüüsiti neljast vaatenurgast: uuriti erinevusi Karula rahvuspargi ja Haanja
looduspargi vahel, n-ö „looduslike“ ja „hooldatavate“ vööndite vahel, põliste metsamaade ja
endiste tuleviljeluseks kasutatud alade – võsamaade – ning eri loodusdirektiivi elupaigatüüpide
vahel. Lisaks sellele uuriti ka, kas Natura 2000 võrgustiku alad erinevad sealt välja jäävatest
aladest. Kõige suuremad olid erinevused Haanja ja Karula kaitsealade vahel, mis oli põhjustatud
erinevast kaitsealade majandamise intensiivsusest. Karula rahvuspargis oli kõiki vaadeldavaid
struktuurielemente rohkem, välja arvatud häilude kategoorias, kus erinevus puudus. Erinevus oli
ka põliste metsamaade ja endiste võsamaade vahel, kus metsamaadel oli võsamaadest oluliselt
rohkem hästi lagunenud lamapuitu. Kaitseala vööndite, erinevate elupaigatüüpide ja Natura alade
ning Natura aladelt välja jäävate alade vahel statistiliselt olulised erinevused puudusid. See on
põhjustatud asjaolust, et kaitsealused alad pole olnud majandamise eest kaitse all piisavalt kaua, et
märkimisväärset muutust tekitada."
"Päevapaabusilma toidutaimede herbivooriaresistentsus erinevate kasvutemperatuuride juures","2. Magistritööd","2019","Atmosfääri CO2 kontsentratsioon on viimaste sajandite jooksul olnud pidevas kasvutrendis
ning selle tagajärjel toimuv kliima soojenemine on vaieldamatu. Temperatuuritõus
kiirendab nii taimede kui putukate arengut, sageneda võivad putukherbivooride
hulgisigimised. Uurisin kasvukambrikatse abil, kas kõrgema õhutemperatuuri korral on
päevapaabusilma toidutaimede (kõrvenõges ja harilik humal) lenduvainetel põhinev
herbivooriaresistentsus kasvanud ja kas see muutus on eri toidutaimede puhul erinev.
Nõgese ja humala taimi kasvatati kõrge (20-30o
C) ja madala (10-20o
C) temperatuuriga
kasvukambrites. Röövikukahjustus tekitati loodusest kogutud päevapaabusilma (Aglais io)
röövikutega. Lenduvühendite mõõtmiseks kasutati kaheksakambrilist küvettsüsteemi ning
lenduvühendid koguti süsinikutorudesse nii enne kui 0, 6, 24 ja 48 tunni möödudes
röövikukahjustuse tekitamisest, lenduvühendite kogused mõõdeti gaas-kromatograaf massspektromeetriga.
Kõrge temperatuuri juures kasvanud nõgesetaimede lenduvühendite koguemissioon oli
madalam kui madala temperatuuri juures kasvanud nõgestel. See on ootuspärasele
vastupidine tulemus, kuna tavaliselt kõrgema temperatuuri juures taimede lenduvühendite
tootlikkus kasvab. Humala puhul kasvutemperatuur lenduvühendite emissioonile olulist
mõju ei avaldanud. Kõrge temperatuuri juures kasvanud humalataimede kahjustatuse määr
oli 36% madalam, kui madala kasvutemperatuuriga humalatel.
Kuna emasliblikas kasutab lenduvühendeid toidutaime leidmiseks, võib tuleviku kasvava
temperatuuri tingimustes nõgesetaimede leidmine liblikale senisest keerulisemaks osutuda.
Tulevikus võib väheneda päevapaabusilma munemine nõgesetaimedele ning kasvada
munemine humalataimedele. Kui kõrge temperatuur humalataimede herbivoorivastast
kaitsevõimet kasvatab, võib humal olla liblika jaoks küll kergemini leitav kuid
toidutaimena vähemväärtuslik."
"Lahja biometanooli mõju sädesüütega mootori väljundparameetritele","1. Bakalaureusetööd","2015","Antud lõputöö püstitatud ülesannete täitmistel uuriti kõigepealt biokütuste kasutamist
sädesüütega mootorites nii ajaloos kui tänapäeval. Täpsemalt uuriti biometanooli
kasutamist lisakütusena sädesüütega mootoris.
Töö eesmärgiks oli lahjade metanoolisegude mõju uurimine sädesüütega mootori
väljundparameetritele. Uuriti heitgaaside koostist ja sõiduauto mootori
võimekusparameetreid (võimsus ja pööremoment).
Uurimistöö läbiviimiseks valiti sõiduauto Lada 2111. Konstrueeriti ja paigaldati
lisatoitesüsteem mis võimaldaks doseerida erinevaid katsekütuseid. Mootori juhtimiseks
paigaldati katseautole programmeeritav juhtseade MegaSquirt II, mille kasutamist õpiti
tundma. MS II paigaldusega kaasnes olemasolevate andurite ja täituritega ühenduste
loomine. Lisaks häälestati mootor, eesmärgiga saada tehase andmetele samalaadsed
võimekusnäitajad. Lisatoite juhtseadmeks valiti Arduino Uno R3, mis juhtis
lisatoitesüsteemi lisapihustit ja pumpa.
Lisatoitesüsteemiga doseeriti lisaks mootoribensiinile viite katsekütust kolme
erineva metanooli protsentuaalse sisaldusega (20, 45 ja 100 %), katsete tulemusi analüüsiti
ja tulemusteks saadi:
1. Katsekütuseid doseerides lisaks mootoribensiinile muutub küttesegu rikkamaks;
2. Heitgaaside komponentide (CO2 ja O2) sisaldus vähenes katsekütustega;
3. Ohtlike komponentide (HC, CO) osakaal heitgaasides suurenes, mida rohkem oli
katsekütuse segus metanooli;
4. Lämmastikoksiidide (NOx) sisaldus vähenes, mida suurema konsentraadiga oli
katsekütuses metanooli;
5. Katsekütuste kasutamine tõi kaasa väljalaskegaaside temperatuuri alanemise.
Temperatuur suuremat langust tähendati, mida suurem on metanooli
kontsentratsioon segus;
6. Lisakütuste kasutamine muutis põlemisprotsessi madalatel väntvõlli
pöörlemissagedustel halvemaks (800 – 3200 min-1);
7. Madalate metanooli sisaldustega katsekütused alandasid võimekusnäitajaid.
Võimsused vähenesid ainult mootoribensiiniga teostatud tulemusest 1,4 – 5,6 %.
Pööremomendid alanesid 0,26 – 4,2 %.
8. Võimekusnäitajad paranesid puhta metanooliga. Võimsus kasvas 0,5 % ja
pööremoment suurenes 1,6 %.
Heitgaasi mõõtmise katsete ajal küttesegu põlemise halvenemine võis olla tingitud sellest,
et katsekütuste pihustamisrõhk oli liiga väike (1 bar), millest tingituna kondenseerusid
lisakütused sisselaskekollektori seintele. Kondenseerunud kütus ei soodustanud põlemis.
Madalate alkoholi sisaldustega katsekütused sisaldasid suurel määral vett, mis ei
soodustanud põlemist.
Eespool kirjeldatavad seosed põhjendavad võimekusnäitajate alanemist lahjade
alkoholi sisaldustega katsekütuste korral. Puhta metanooliga suurenenud võimekusnäitajad
võivad olla tingitud mootori silindris põlemistemperatuuri kasvust, sest metanooli aurustus
efektiivsemalt ja soodustas põlemist. Sellest tingituna tõusis põlemisrõhk silindris ja tänu
sellele suurenesid võimsu ja pöördemoment.
Uurimistöö autori soovitused edaspidiseks uurimustöö jätuks uurides biometanooli mõju
ottomootori väljundparameetritele:
1) suurendada lisatoitesüsteemis kütuserõhku ja uurida mõju väljundparameetritele;
2) paigutada lisatoitesüsteemi pihusti sisselaske süsteemi algusesse;
3) uurida erinevate katsekütuste kasutamisel süüte ajastuse võimaliku muutmist;
4) uurida heitgaase katalüsaatoriga autol, kasutades sama tüüpi lisatoitesüsteemi;
5) teha võrdlevad katsed etanool segudega."
